Position,RadialVelocity
0.0,4.49037e-06
0.0196636,9.47124e-06
0.0361074,1.72505e-05
0.0498585,2.35025e-05
0.0613579,2.88784e-05
0.0709742,3.33581e-05
0.0790159,3.70825e-05
0.0857408,4.01625e-05
0.0913645,4.27319e-05
0.0960673,4.48387e-05
0.1,4.65727e-05
0.104978,4.88052e-05
0.110156,5.11215e-05
0.115543,5.35039e-05
0.121147,5.59853e-05
0.126976,5.85589e-05
0.133041,6.12273e-05
0.139351,6.39921e-05
0.145914,6.68556e-05
0.152743,6.98195e-05
0.159846,7.28853e-05
0.167236,7.60539e-05
0.174923,7.93267e-05
0.182921,8.27043e-05
0.19124,8.61865e-05
0.199896,8.97719e-05
0.2089,9.34584e-05
0.218266,9.72443e-05
0.228011,0.000101127
0.238148,0.000105102
0.248694,0.000109162
0.259665,0.0001133
0.271078,0.000117504
0.282951,0.000121762
0.295303,0.000126061
0.308152,0.000130384
0.32152,0.00013471
0.335426,0.000139014
0.349893,0.000143272
0.364942,0.000147452
0.380599,0.000151517
0.396886,0.000155428
0.41383,0.000159137
0.431457,0.000162598
0.449795,0.00016575
0.468871,0.000168527
0.488717,0.00017085
0.509362,0.000172627
0.53084,0.000173763
0.553183,0.000174172
0.576426,0.00017373
0.600607,0.000172265
0.625762,0.000169645
0.651931,0.00016575
0.679155,0.000160276
0.707477,0.000152968
0.73694,0.000143679
0.76759,0.000132139
0.799476,0.000118021
0.832647,0.000100982
0.867155,8.06616e-05
0.903053,5.66687e-05
0.940399,2.85902e-05
0.97925,-4.01189e-06
1.01967,-4.16052e-05
1.06171,-8.46954e-05
1.10545,-0.000133858
1.15096,-0.000189778
1.1983,-0.000253185
1.24754,-0.000324769
1.29877,-0.000405248
1.35207,-0.000495423
1.40751,-0.000596119
1.46519,-0.000708178
1.5252,-0.000832448
1.58762,-0.000969764
1.65256,-0.00112092
1.72011,-0.00128666
1.79039,-0.00146765
1.8635,-0.00166447
1.93956,-0.00187759
2.01868,-0.0021074
2.101,-0.00235427
2.18663,-0.0026186
2.27571,-0.00290134
2.36838,-0.00320278
2.46479,-0.00352328
2.56508,-0.00388148
2.66942,-0.00426881
2.77796,-0.00465017
2.89088,-0.00501667
3.00835,-0.00536746
3.13055,-0.00570383
3.25768,-0.00602564
3.38993,-0.00633097
3.52751,-0.00661604
3.67064,-0.00687456
3.81954,-0.00709637
3.97444,-0.00726469
4.13558,-0.00735723
4.30322,-0.00734204
4.47762,-0.007158
4.65904,-0.00669696
4.84778,-0.00585911
5.04412,-0.00442334
5.24838,-0.00262174
5.46087,-0.00137102
5.68192,-0.000836924
5.91189,-0.000561554
6.15112,-0.000528319
6.4,-0.000603778
