Position,AxialVelocity
0.0,0.183233
0.0196636,0.183094
0.0361074,0.182766
0.0498585,0.182344
0.0613579,0.18189
0.0709742,0.18144
0.0790159,0.181015
0.0857408,0.180626
0.0913645,0.180277
0.0960673,0.17997
0.1,0.179702
0.104978,0.179348
0.110156,0.178963
0.115543,0.178544
0.121147,0.178089
0.126976,0.177595
0.133041,0.177059
0.139351,0.176478
0.145914,0.175849
0.152743,0.175167
0.159846,0.17443
0.167236,0.173633
0.174923,0.172773
0.182921,0.171845
0.19124,0.170844
0.199896,0.169767
0.2089,0.168607
0.218266,0.167361
0.228011,0.166023
0.238148,0.164587
0.248694,0.16305
0.259665,0.161404
0.271078,0.159646
0.282951,0.15777
0.295303,0.15577
0.308152,0.153642
0.32152,0.15138
0.335426,0.148981
0.349893,0.146439
0.364942,0.143752
0.380599,0.140916
0.396886,0.137928
0.41383,0.134786
0.431457,0.131489
0.449795,0.128038
0.468871,0.124431
0.488717,0.120673
0.509362,0.116765
0.53084,0.112711
0.553183,0.108517
0.576426,0.104191
0.600607,0.0997405
0.625762,0.0951758
0.651932,0.0905084
0.679155,0.0857516
0.707477,0.0809202
0.73694,0.0760306
0.76759,0.0711008
0.799476,0.0661501
0.832647,0.0611994
0.867155,0.0562706
0.903053,0.051387
0.940399,0.0465727
0.97925,0.0418527
1.01967,0.0372525
1.06171,0.0327984
1.10545,0.0285167
1.15096,0.024434
1.1983,0.0205771
1.24754,0.016973
1.29877,0.0136489
1.35207,0.0106333
1.40751,0.00795636
1.46519,0.0056511
1.5252,0.00375379
1.58762,0.0022992
1.65256,0.00130174
1.72011,0.000719115
1.79039,0.000439001
1.8635,0.000324336
1.93956,0.000275156
2.01868,0.000243906
2.101,0.000214133
2.18663,0.000181896
2.27571,0.000146795
2.36838,0.000109246
2.46479,6.98527e-05
2.56508,2.93404e-05
2.66942,-1.14237e-05
2.77796,-5.14156e-05
2.89088,-8.94955e-05
3.00835,-0.000124525
3.13055,-0.000155546
3.25768,-0.000181957
3.38993,-0.000203569
3.52751,-0.000220506
3.67064,-0.000233033
3.81954,-0.000241408
3.97444,-0.000245821
4.13558,-0.000246381
4.30322,-0.00024314
4.47762,-0.000236085
4.65904,-0.000225121
4.84778,-0.00021013
5.04412,-0.000190952
5.24838,-0.000167457
5.46087,-0.000139467
5.68192,-0.000107192
5.91189,-7.07845e-05
6.15112,-3.59474e-05
6.4,-2.02029e-05
