Position,AxialVelocity
0.0,1.22668
0.0270091,1.21407
0.0544233,1.20698
0.0822487,1.2047
0.110492,1.20299
0.139158,1.19941
0.168254,1.1934
0.197787,1.18448
0.227763,1.17247
0.258189,1.15739
0.289071,1.13938
0.320416,1.11867
0.352231,1.09564
0.384524,1.07072
0.417301,1.04441
0.450569,1.01717
0.484337,0.989452
0.518611,0.961611
0.553399,0.933949
0.588709,0.906698
0.624549,0.880029
0.660926,0.854061
0.697849,0.828874
0.735326,0.80452
0.773365,0.781022
0.811975,0.758375
0.851163,0.736568
0.89094,0.715584
0.931313,0.695406
0.972292,0.676008
1.01389,0.657363
1.0561,0.639438
1.09895,0.622204
1.14245,0.605628
1.18659,0.589681
1.2314,0.574333
1.27688,0.559555
1.32304,0.54532
1.3699,0.531602
1.41746,0.518376
1.46573,0.505618
1.51472,0.493307
1.56445,0.48142
1.61493,0.469938
1.66616,0.458843
1.71816,0.448115
1.77094,0.437739
1.82452,0.427698
1.87889,0.417978
1.93409,0.408563
1.99011,0.399441
2.04697,0.390598
2.10468,0.382024
2.16326,0.373706
2.22272,0.365633
2.28307,0.357796
2.34432,0.350185
2.4065,0.342791
2.4696,0.335604
2.53366,0.328618
2.59867,0.321823
2.66466,0.315214
2.73164,0.308782
2.79962,0.302521
2.86862,0.296425
2.93866,0.290487
3.00975,0.284703
3.08191,0.279066
3.15515,0.273572
3.22948,0.268215
3.30493,0.262991
3.38152,0.257895
3.45925,0.252922
3.53815,0.24807
3.61823,0.243334
3.69951,0.238709
3.78201,0.234194
3.86575,0.229783
3.95075,0.225474
4.03702,0.221264
4.12458,0.21715
4.21346,0.213129
4.30367,0.209197
4.39523,0.205353
4.48817,0.201594
4.5825,0.197917
4.67825,0.19432
4.77543,0.190801
4.87407,0.187358
4.97419,0.183988
5.07581,0.18069
5.17896,0.177461
5.28365,0.174299
5.38992,0.171204
5.49778,0.168172
5.60725,0.165203
5.71837,0.162295
5.83115,0.159446
5.94563,0.156655
6.06182,0.15392
6.17976,0.15124
6.29947,0.148613
6.42097,0.146038
6.54429,0.143515
6.66946,0.141041
6.79652,0.138615
6.92547,0.136237
7.05636,0.133905
7.18922,0.131618
7.32407,0.129375
7.46094,0.127175
7.59986,0.125017
7.74087,0.1229
7.88399,0.120823
8.02926,0.118785
8.1767,0.116786
8.32636,0.114824
8.47827,0.112898
8.63245,0.111009
8.78895,0.109154
8.94779,0.107334
9.10902,0.105547
9.27266,0.103793
9.43876,0.102071
9.60735,0.100381
9.77847,0.0987206
9.95216,0.0970909
10.1284,0.0954905
10.3074,0.093919
10.489,0.0923756
10.6733,0.09086
10.8605,0.0893713
11.0504,0.0879094
11.2431,0.0864729
11.4388,0.0850624
11.6374,0.0836763
11.839,0.0823158
12.0435,0.0809781
12.2512,0.0796668
12.462,0.0783756
12.6759,0.0771131
12.8931,0.0758665
13.1135,0.074654
13.3372,0.0734499
13.5643,0.0722918
13.7947,0.0711255
14.0287,0.0700332
14.2661,0.0688977
14.5071,0.0679096
14.7517,0.0668804
15.0,0.06615
