Position,RadialVelocity
0.0,0.0
0.0270091,0.00199453
0.0544233,0.00412704
0.0822487,0.00616861
0.110492,0.00780883
0.139158,0.00874952
0.168254,0.00892835
0.197787,0.00854875
0.227763,0.00784233
0.258189,0.00697951
0.289071,0.00606904
0.320416,0.00517117
0.352231,0.00431579
0.384524,0.00351512
0.417301,0.00277207
0.450569,0.00208558
0.484337,0.00145312
0.518611,0.000871592
0.553399,0.000337707
0.588709,-0.000145404
0.624549,-0.000575103
0.660926,-0.000962326
0.697849,-0.00131719
0.735326,-0.00164183
0.773365,-0.00193783
0.811975,-0.00220684
0.851163,-0.00245066
0.89094,-0.00267116
0.931313,-0.00287021
0.972292,-0.00304972
1.01389,-0.00321159
1.0561,-0.00335758
1.09895,-0.00348929
1.14245,-0.00360801
1.18659,-0.0037147
1.2314,-0.00381007
1.27688,-0.00389472
1.32304,-0.00396922
1.3699,-0.00403414
1.41746,-0.00409002
1.46573,-0.00413733
1.51472,-0.00417639
1.56445,-0.00420747
1.61493,-0.00423073
1.66616,-0.00424615
1.71816,-0.0042535
1.77094,-0.00425259
1.82452,-0.0042439
1.87889,-0.00422843
1.93409,-0.00420715
1.99011,-0.00418083
2.04697,-0.00415012
2.10468,-0.00411554
2.16326,-0.00407757
2.22272,-0.00403666
2.28307,-0.00399324
2.34432,-0.00394775
2.4065,-0.0039006
2.4696,-0.00385219
2.53366,-0.00380291
2.59867,-0.00375315
2.66466,-0.00370324
2.73164,-0.00365354
2.79962,-0.00360431
2.86862,-0.00355571
2.93866,-0.00350801
3.00975,-0.00346176
3.08191,-0.00341763
3.15515,-0.00337615
3.22948,-0.0033375
3.30493,-0.00330144
3.38152,-0.00326758
3.45925,-0.00323553
3.53815,-0.00320506
3.61823,-0.00317608
3.69951,-0.00314858
3.78201,-0.00312257
3.86575,-0.00309808
3.95075,-0.00307513
4.03702,-0.00305375
4.12458,-0.00303391
4.21346,-0.00301557
4.30367,-0.00299864
4.39523,-0.00298302
4.48817,-0.00296857
4.5825,-0.00295515
4.67825,-0.0029426
4.77543,-0.00293077
4.87407,-0.00291953
4.97419,-0.00290876
5.07581,-0.00289836
5.17896,-0.00288828
5.28365,-0.00287852
5.38992,-0.00286905
5.49778,-0.00285985
5.60725,-0.00285095
5.71837,-0.00284239
5.83115,-0.00283424
5.94563,-0.00282656
6.06182,-0.00281942
6.17976,-0.00281292
6.29947,-0.00280718
6.42097,-0.00280231
6.54429,-0.00279846
6.66946,-0.0027958
6.79652,-0.00279452
6.92547,-0.00279489
7.05636,-0.00279724
7.18922,-0.00280193
7.32407,-0.0028094
7.46094,-0.00282008
7.59986,-0.00283448
7.74087,-0.00285312
7.88399,-0.0028765
8.02926,-0.00290492
8.1767,-0.00293834
8.32636,-0.00297613
8.47827,-0.00301712
8.63245,-0.00306014
8.78895,-0.00310446
8.94779,-0.00315
9.10902,-0.00319718
9.27266,-0.00324664
9.43876,-0.00329918
9.60735,-0.00335571
9.77847,-0.00341727
9.95216,-0.00348505
10.1284,-0.00356055
10.3074,-0.00364481
10.489,-0.00373799
10.6733,-0.00383951
10.8605,-0.00394652
11.0504,-0.00405492
11.2431,-0.00416349
11.4388,-0.00427498
11.6374,-0.00439323
11.839,-0.00452109
12.0435,-0.00465951
12.2512,-0.00480844
12.462,-0.00496663
12.6759,-0.00513225
12.8931,-0.0053007
13.1135,-0.00546289
13.3372,-0.00559762
13.5643,-0.00566984
13.7947,-0.00560786
14.0287,-0.00507071
14.2661,-0.00397574
14.5071,-0.00260205
14.7517,-0.00123487
15.0,-0.000603778
