Position,AxialVelocity
0.0,0.0799806
0.0196636,0.0799737
0.0361074,0.0799576
0.0498585,0.0799372
0.0613579,0.0799153
0.0709742,0.0798938
0.0790159,0.0798736
0.0857408,0.0798553
0.0913645,0.0798392
0.0960673,0.0798252
0.1,0.0798133
0.104978,0.0797978
0.110156,0.0797812
0.115543,0.0797633
0.121147,0.079744
0.126976,0.079723
0.133041,0.0797002
0.139351,0.0796755
0.145914,0.0796485
0.152743,0.0796192
0.159846,0.0795872
0.167236,0.0795522
0.174923,0.0795141
0.182921,0.0794725
0.19124,0.0794271
0.199896,0.0793774
0.2089,0.0793233
0.218266,0.0792642
0.228011,0.0791996
0.238148,0.0791292
0.248694,0.0790525
0.259665,0.0789688
0.271078,0.0788775
0.282951,0.0787782
0.295303,0.07867
0.308152,0.0785522
0.32152,0.0784241
0.335426,0.0782848
0.349893,0.0781333
0.364942,0.0779688
0.380599,0.0777903
0.396886,0.0775965
0.41383,0.0773864
0.431457,0.0771587
0.449795,0.0769121
0.468871,0.0766453
0.488717,0.0763568
0.509362,0.0760451
0.53084,0.0757087
0.553183,0.075346
0.576426,0.0749553
0.600607,0.0745349
0.625762,0.0740832
0.651931,0.0735983
0.679155,0.0730785
0.707477,0.0725221
0.73694,0.071927
0.76759,0.0712916
0.799476,0.0706141
0.832647,0.0698928
0.867155,0.0691261
0.903053,0.0683126
0.940399,0.0674509
0.97925,0.0665399
1.01967,0.0655789
1.06171,0.0645671
1.10545,0.0635043
1.15096,0.0623907
1.1983,0.0612269
1.24754,0.0600139
1.29877,0.0587536
1.35207,0.0574483
1.40751,0.0561011
1.46519,0.054716
1.5252,0.0532976
1.58762,0.0518512
1.65256,0.0503836
1.72011,0.0489023
1.79039,0.0474161
1.8635,0.0459347
1.93956,0.0444688
2.01868,0.0430288
2.101,0.0416239
2.18663,0.0402582
2.27571,0.0389233
2.36838,0.0375786
2.46479,0.0361264
2.56508,0.0344816
2.66942,0.0328073
2.77796,0.0312984
2.89088,0.0298814
3.00835,0.0284399
3.13055,0.0269319
3.25768,0.0253451
3.38993,0.0236741
3.52751,0.0219157
3.67064,0.0200695
3.81954,0.0181367
3.97444,0.0161183
4.13558,0.0140095
4.30322,0.0118002
4.47762,0.00947531
4.65904,0.00699518
4.84778,0.00429771
5.04412,0.00135446
5.24838,-0.000938106
5.46087,-0.00192361
5.68192,-0.00222946
5.91189,-0.00222334
6.15112,-0.00194199
6.4,-0.00173419
