Position,RadialVelocity
0.0,0.0166283
0.0270091,0.0257876
0.0544233,0.0285622
0.0822487,0.0243624
0.110492,0.0185579
0.139158,0.0141665
0.168254,0.0111653
0.197787,0.00931676
0.227763,0.00829764
0.258189,0.00773046
0.289071,0.00739116
0.320416,0.00715821
0.352231,0.00695391
0.384524,0.00674226
0.417301,0.0065147
0.450569,0.00626711
0.484337,0.00599959
0.518611,0.0057157
0.553399,0.00542233
0.588709,0.00512634
0.624549,0.00483301
0.660926,0.00454605
0.697849,0.00427144
0.735326,0.00401288
0.773365,0.00376631
0.811975,0.00353099
0.851163,0.00330967
0.89094,0.0031033
0.931313,0.00291169
0.972292,0.0027338
1.01389,0.0025686
1.0561,0.00241539
1.09895,0.00227339
1.14245,0.0021415
1.18659,0.002019
1.2314,0.0019052
1.27688,0.00179935
1.32304,0.00170082
1.3699,0.00160902
1.41746,0.00152345
1.46573,0.00144362
1.51472,0.00136906
1.56445,0.00129936
1.61493,0.0012341
1.66616,0.00117294
1.71816,0.00111555
1.77094,0.00106168
1.82452,0.00101108
1.87889,0.000963491
1.93409,0.000918718
1.99011,0.000876536
2.04697,0.000836783
2.10468,0.000799278
2.16326,0.000763884
2.22272,0.000730453
2.28307,0.000698852
2.34432,0.000668972
2.4065,0.000640695
2.4696,0.000613918
2.53366,0.000588543
2.59867,0.000564503
2.66466,0.000541694
2.73164,0.000520061
2.79962,0.000499503
2.86862,0.000479992
2.93866,0.000461469
3.00975,0.000443887
3.08191,0.000427178
3.15515,0.000411284
3.22948,0.000396178
3.30493,0.000381754
3.38152,0.000368022
3.45925,0.000354944
3.53815,0.000342496
3.61823,0.00033065
3.69951,0.000319342
3.78201,0.000308583
3.86575,0.000298296
3.95075,0.000288475
4.03702,0.000279111
4.12458,0.000270157
4.21346,0.000261594
4.30367,0.000253404
4.39523,0.000245554
4.48817,0.000238045
4.5825,0.000230877
4.67825,0.000224023
4.77543,0.000217456
4.87407,0.000211138
4.97419,0.000205085
5.07581,0.000199294
5.17896,0.000193744
5.28365,0.000188422
5.38992,0.00018332
5.49778,0.000178416
5.60725,0.000173721
5.71837,0.000169229
5.83115,0.000164938
5.94563,0.000160835
6.06182,0.00015692
6.17976,0.000153189
6.29947,0.000149657
6.42097,0.000146313
6.54429,0.000143157
6.66946,0.000140178
6.79652,0.000137383
6.92547,0.000134772
7.05636,0.000132351
7.18922,0.000130114
7.32407,0.000128061
7.46094,0.000126202
7.59986,0.000124518
7.74087,0.000123016
7.88399,0.000121684
8.02926,0.000120536
8.1767,0.000119539
8.32636,0.000118683
8.47827,0.000117977
8.63245,0.000117394
8.78895,0.000116947
8.94779,0.000116608
9.10902,0.000116375
9.27266,0.000116218
9.43876,0.000116093
9.60735,0.000116002
9.77847,0.000115923
9.95216,0.000115831
10.1284,0.0001157
10.3074,0.000115486
10.489,0.000115197
10.6733,0.000114752
10.8605,0.00011415
11.0504,0.000113233
11.2431,0.000112139
11.4388,0.000110615
11.6374,0.000108868
11.839,0.00010655
12.0435,0.000103988
12.2512,0.000100673
12.462,9.71215e-05
12.6759,9.26831e-05
12.8931,8.79753e-05
13.1135,8.24367e-05
13.3372,7.64163e-05
13.5643,7.00891e-05
13.7947,6.23761e-05
14.0287,5.63134e-05
14.2661,4.5832e-05
14.5071,3.95207e-05
14.7517,1.58144e-05
15.0,-7.10223e-07
