Position,AxialVelocity
2e-15,0.0654781
0.0196636,0.0654716
0.0361074,0.0654564
0.0498585,0.0654367
0.0613579,0.0654154
0.0709742,0.0653943
0.0790159,0.0653743
0.0857408,0.0653559
0.0913645,0.0653393
0.0960673,0.0653247
0.1,0.065312
0.104978,0.0652951
0.110156,0.0652766
0.115543,0.0652565
0.121147,0.0652345
0.126976,0.0652106
0.133041,0.0651846
0.139351,0.0651562
0.145914,0.0651253
0.152743,0.0650917
0.159846,0.0650551
0.167236,0.0650154
0.174923,0.0649721
0.182921,0.0649252
0.19124,0.0648741
0.199896,0.0648187
0.2089,0.0647585
0.218266,0.0646932
0.228011,0.0646224
0.238148,0.0645455
0.248694,0.0644622
0.259665,0.0643719
0.271078,0.064274
0.282951,0.0641681
0.295303,0.0640533
0.308152,0.0639291
0.32152,0.0637948
0.335426,0.0636495
0.349893,0.0634925
0.364942,0.0633227
0.380599,0.0631395
0.396886,0.0629416
0.41383,0.0627281
0.431457,0.0624979
0.449795,0.0622497
0.468871,0.0619824
0.488717,0.0616946
0.509362,0.061385
0.53084,0.0610521
0.553183,0.0606945
0.576426,0.0603106
0.600607,0.0598987
0.625762,0.0594573
0.651931,0.0589847
0.679155,0.058479
0.707477,0.0579386
0.73694,0.0573617
0.76759,0.0567464
0.799476,0.056091
0.832647,0.0553938
0.867155,0.054653
0.903053,0.0538669
0.940399,0.0530341
0.97925,0.052153
1.01967,0.0512223
1.06171,0.0502408
1.10545,0.0492077
1.15096,0.048122
1.1983,0.0469833
1.24754,0.0457914
1.29877,0.0445464
1.35207,0.0432487
1.40751,0.0418991
1.46519,0.0404988
1.5252,0.0390495
1.58762,0.0375534
1.65256,0.0360131
1.72011,0.0344316
1.79039,0.0328128
1.8635,0.0311607
1.93956,0.0294802
2.01868,0.0277766
2.101,0.0260556
2.18663,0.0243236
2.27571,0.0225875
2.36838,0.0208546
2.46479,0.0191327
2.56508,0.0174297
2.66942,0.0157542
2.77796,0.0141148
2.89088,0.0125205
3.00835,0.0109802
3.13055,0.00950328
3.25768,0.00809881
3.38993,0.00677609
3.52751,0.00554447
3.67064,0.00441345
3.81954,0.00339294
3.97444,0.0024935
4.13558,0.00172683
4.30322,0.00110569
4.47762,0.000641819
4.65904,0.00033777
4.84778,0.000173098
5.04412,0.000102676
5.24838,7.81364e-05
5.46087,6.88823e-05
5.68192,6.23925e-05
5.91189,5.50792e-05
6.15112,4.64445e-05
6.4,3.66846e-05
