Position,RadialVelocity
0.0,0.0165991
0.0270091,0.0257526
0.0544233,0.0285261
0.0822487,0.0243287
0.110492,0.0185259
0.139158,0.0141359
0.168254,0.0111358
0.197787,0.00928687
0.227763,0.00826853
0.258189,0.0077055
0.289071,0.00737097
0.320416,0.0071398
0.352231,0.00693539
0.384524,0.0067254
0.417301,0.00650086
0.450569,0.00625474
0.484337,0.00598735
0.518611,0.00570391
0.553399,0.00541099
0.588709,0.00511473
0.624549,0.00482069
0.660926,0.00453276
0.697849,0.00425696
0.735326,0.0039969
0.773365,0.00374849
0.811975,0.00351118
0.851163,0.00328775
0.89094,0.00307919
0.931313,0.00288532
0.972292,0.00270517
1.01389,0.00253776
1.0561,0.00238245
1.09895,0.00223852
1.14245,0.00210486
1.18659,0.00198079
1.2314,0.00186562
1.27688,0.00175864
1.32304,0.0016592
1.3699,0.00156672
1.41746,0.00148067
1.46573,0.00140054
1.51472,0.00132584
1.56445,0.00125615
1.61493,0.00119107
1.66616,0.00113023
1.71816,0.0010733
1.77094,0.00101998
1.82452,0.000969982
1.87889,0.00092306
1.93409,0.000878983
1.99011,0.000837536
2.04697,0.000798529
2.10468,0.00076178
2.16326,0.000727132
2.22272,0.000694433
2.28307,0.000663549
2.34432,0.000634353
2.4065,0.000606731
2.4696,0.000580579
2.53366,0.000555797
2.59867,0.000532299
2.66466,0.00051
2.73164,0.000488827
2.79962,0.000468707
2.86862,0.000449575
2.93866,0.000431374
3.00975,0.000414046
3.08191,0.000397541
3.15515,0.00038181
3.22948,0.000366809
3.30493,0.000352497
3.38152,0.000338834
3.45925,0.000325787
3.53815,0.000313319
3.61823,0.000301402
3.69951,0.000290006
3.78201,0.000279102
3.86575,0.000268666
3.95075,0.000258674
4.03702,0.000249103
4.12458,0.000239932
4.21346,0.000231142
4.30367,0.000222714
4.39523,0.000214629
4.48817,0.000206873
4.5825,0.000199429
4.67825,0.000192282
4.77543,0.00018542
4.87407,0.000178828
4.97419,0.000172495
5.07581,0.000166409
5.17896,0.000160559
5.28365,0.000154934
5.38992,0.000149523
5.49778,0.00014432
5.60725,0.000139313
5.71837,0.000134495
5.83115,0.000129858
5.94563,0.000125394
6.06182,0.000121096
6.17976,0.000116957
6.29947,0.00011297
6.42097,0.000109129
6.54429,0.000105428
6.66946,0.000101862
6.79652,9.84253e-05
6.92547,9.51121e-05
7.05636,9.19181e-05
7.18922,8.88383e-05
7.32407,8.58687e-05
7.46094,8.30046e-05
7.59986,8.02417e-05
7.74087,7.75764e-05
7.88399,7.50048e-05
8.02926,7.25235e-05
8.1767,7.01289e-05
8.32636,6.78177e-05
8.47827,6.5587e-05
8.63245,6.34334e-05
8.78895,6.13544e-05
8.94779,5.93472e-05
9.10902,5.74089e-05
9.27266,5.55371e-05
9.43876,5.37293e-05
9.60735,5.19832e-05
9.77847,5.02966e-05
9.95216,4.86673e-05
10.1284,4.70932e-05
10.3074,4.55723e-05
10.489,4.41027e-05
10.6733,4.26827e-05
10.8605,4.13104e-05
11.0504,3.99843e-05
11.2431,3.87025e-05
11.4388,3.7464e-05
11.6374,3.62668e-05
11.839,3.511e-05
12.0435,3.39917e-05
12.2512,3.29115e-05
12.462,3.18669e-05
12.6759,3.08584e-05
12.8931,2.98828e-05
13.1135,2.89414e-05
13.3372,2.80296e-05
13.5643,2.71502e-05
13.7947,2.62961e-05
14.0287,2.5472e-05
14.2661,2.46664e-05
14.5071,2.38883e-05
14.7517,2.31224e-05
15.0,2.23965e-05
