Position,RadialVelocity
0.0,0.0
0.0270091,-0.000102799
0.0544233,-0.000201274
0.0822487,-0.000295271
0.110492,-0.000384691
0.139158,-0.000469484
0.168254,-0.000549648
0.197787,-0.000625218
0.227763,-0.000696266
0.258189,-0.000762892
0.289071,-0.000825223
0.320416,-0.000883406
0.352231,-0.000937602
0.384524,-0.000987987
0.417301,-0.00103474
0.450569,-0.00107806
0.484337,-0.00111812
0.518611,-0.00115513
0.553399,-0.00118927
0.588709,-0.00122072
0.624549,-0.00124967
0.660926,-0.00127628
0.697849,-0.00130074
0.735326,-0.0013232
0.773365,-0.00134381
0.811975,-0.00136272
0.851163,-0.00138006
0.89094,-0.00139597
0.931313,-0.00141056
0.972292,-0.00142395
1.01389,-0.00143624
1.0561,-0.00144753
1.09895,-0.00145792
1.14245,-0.00146748
1.18659,-0.00147629
1.2314,-0.00148443
1.27688,-0.00149195
1.32304,-0.00149893
1.3699,-0.00150541
1.41746,-0.00151144
1.46573,-0.00151708
1.51472,-0.00152235
1.56445,-0.0015273
1.61493,-0.00153195
1.66616,-0.00153635
1.71816,-0.00154052
1.77094,-0.00154447
1.82452,-0.00154823
1.87889,-0.00155183
1.93409,-0.00155527
1.99011,-0.00155858
2.04697,-0.00156175
2.10468,-0.00156482
2.16326,-0.00156778
2.22272,-0.00157065
2.28307,-0.00157344
2.34432,-0.00157614
2.4065,-0.00157878
2.4696,-0.00158135
2.53366,-0.00158386
2.59867,-0.00158633
2.66466,-0.00158874
2.73164,-0.00159112
2.79962,-0.00159347
2.86862,-0.0015958
2.93866,-0.00159811
3.00975,-0.00160042
3.08191,-0.00160274
3.15515,-0.00160509
3.22948,-0.00160748
3.30493,-0.00160993
3.38152,-0.00161247
3.45925,-0.00161512
3.53815,-0.00161793
3.61823,-0.00162091
3.69951,-0.0016241
3.78201,-0.00162755
3.86575,-0.00163127
3.95075,-0.00163528
4.03702,-0.0016396
4.12458,-0.00164423
4.21346,-0.00164914
4.30367,-0.00165429
4.39523,-0.00165963
4.48817,-0.0016651
4.5825,-0.00167063
4.67825,-0.00167615
4.77543,-0.00168158
4.87407,-0.00168685
4.97419,-0.0016919
5.07581,-0.00169669
5.17896,-0.00170116
5.28365,-0.00170528
5.38992,-0.00170904
5.49778,-0.0017124
5.60725,-0.00171536
5.71837,-0.00171791
5.83115,-0.00172005
5.94563,-0.00172178
6.06182,-0.0017231
6.17976,-0.00172403
6.29947,-0.00172457
6.42097,-0.00172474
6.54429,-0.00172455
6.66946,-0.00172401
6.79652,-0.00172314
6.92547,-0.00172194
7.05636,-0.00172044
7.18922,-0.00171866
7.32407,-0.00171659
7.46094,-0.00171427
7.59986,-0.00171171
7.74087,-0.00170891
7.88399,-0.0017059
8.02926,-0.00170269
8.1767,-0.00169929
8.32636,-0.00169571
8.47827,-0.00169197
8.63245,-0.00168808
8.78895,-0.00168405
8.94779,-0.00167989
9.10902,-0.00167561
9.27266,-0.00167121
9.43876,-0.00166672
9.60735,-0.00166213
9.77847,-0.00165745
9.95216,-0.00165268
10.1284,-0.00164784
10.3074,-0.00164292
10.489,-0.00163795
10.6733,-0.00163292
10.8605,-0.00162785
11.0504,-0.00162276
11.2431,-0.00161767
11.4388,-0.00161261
11.6374,-0.00160759
11.839,-0.00160266
12.0435,-0.00159783
12.2512,-0.00159313
12.462,-0.00158858
12.6759,-0.00158421
12.8931,-0.00158002
13.1135,-0.00157603
13.3372,-0.00157225
13.5643,-0.00156868
13.7947,-0.00156532
14.0287,-0.00156219
14.2661,-0.00155928
14.5071,-0.0015566
14.7517,-0.00155416
15.0,-0.00155198
