Position,RadialVelocity
2e-15,0.0655176
0.0196636,0.0655112
0.0361074,0.0654959
0.0498585,0.0654762
0.0613579,0.065455
0.0709742,0.0654338
0.0790159,0.0654138
0.0857408,0.0653954
0.0913645,0.0653789
0.0960673,0.0653642
0.1,0.0653514
0.104978,0.0653345
0.110156,0.0653161
0.115543,0.0652959
0.121147,0.065274
0.126976,0.0652501
0.133041,0.065224
0.139351,0.0651956
0.145914,0.0651647
0.152743,0.0651311
0.159846,0.0650945
0.167236,0.0650547
0.174923,0.0650114
0.182921,0.0649644
0.19124,0.0649134
0.199896,0.0648579
0.2089,0.0647977
0.218266,0.0647324
0.228011,0.0646615
0.238148,0.0645846
0.248694,0.0645012
0.259665,0.0644109
0.271078,0.064313
0.282951,0.0642069
0.295303,0.0640921
0.308152,0.0639679
0.32152,0.0638335
0.335426,0.0636881
0.349893,0.063531
0.364942,0.0633612
0.380599,0.0631778
0.396886,0.0629798
0.41383,0.0627662
0.431457,0.0625359
0.449795,0.0622876
0.468871,0.0620201
0.488717,0.0617322
0.509362,0.0614224
0.53084,0.0610894
0.553183,0.0607316
0.576426,0.0603475
0.600607,0.0599355
0.625762,0.0594939
0.651931,0.059021
0.679155,0.0585151
0.707477,0.0579744
0.73694,0.0573972
0.76759,0.0567817
0.799476,0.056126
0.832647,0.0554284
0.867155,0.0546873
0.903053,0.0539009
0.940399,0.0530677
0.97925,0.0521862
1.01967,0.0512551
1.06171,0.0502732
1.10545,0.0492396
1.15096,0.0481535
1.1983,0.0470144
1.24754,0.045822
1.29877,0.0445765
1.35207,0.0432782
1.40751,0.041928
1.46519,0.0405272
1.5252,0.0390774
1.58762,0.0375807
1.65256,0.0360398
1.72011,0.0344577
1.79039,0.0328383
1.8635,0.0311856
1.93956,0.0295045
2.01868,0.0278002
2.101,0.0260786
2.18663,0.024346
2.27571,0.0226094
2.36838,0.0208759
2.46479,0.0191533
2.56508,0.0174498
2.66942,0.0157738
2.77796,0.0141339
2.89088,0.0125392
3.00835,0.0109987
3.13055,0.0095215
3.25768,0.00811696
3.38993,0.00679437
3.52751,0.00556314
3.67064,0.00443289
3.81954,0.00341366
3.97444,0.00251621
4.13558,0.00175251
4.30322,0.0011355
4.47762,0.000676697
4.65904,0.000377412
4.84778,0.000215252
5.04412,0.000144294
5.24838,0.0001173
5.46087,0.000105093
5.68192,9.57721e-05
5.91189,8.59175e-05
6.15112,7.49824e-05
6.4,6.30634e-05
