Position,AxialVelocity
1.22465e-16,0.673485
0.0323586,0.65592
0.0551457,0.624375
0.0711924,0.594806
0.0824925,0.571205
0.0904501,0.553516
0.0960538,0.54063
0.1,0.531375
0.105386,0.518545
0.111137,0.50464
0.117276,0.489613
0.12383,0.473424
0.130828,0.456046
0.138298,0.437464
0.146274,0.41768
0.154788,0.396717
0.163879,0.374618
0.173584,0.351453
0.183944,0.32732
0.195006,0.302348
0.206815,0.276696
0.219422,0.250557
0.232882,0.224155
0.247252,0.197746
0.262593,0.171613
0.278971,0.146065
0.296457,0.121433
0.315124,0.0980639
0.335054,0.076318
0.356331,0.05657
0.379046,0.0392154
0.403297,0.0246891
0.429187,0.0134764
0.456828,0.00597502
0.486337,0.00199452
0.517841,0.000408191
0.551475,-0.000201158
0.587383,-0.000624294
0.625718,-0.00100833
0.666645,-0.00131463
0.710338,-0.00152689
0.756986,-0.00165343
0.806787,-0.00170535
0.859954,-0.00169351
0.916716,-0.00162795
0.977315,-0.00151873
1.04201,-0.00137712
1.11108,-0.00121523
1.18482,-0.00104775
1.26354,-0.000892922
1.34759,-0.000767484
1.43732,-0.000676821
1.53311,-0.000612798
1.63538,-0.000563283
1.74457,-0.000520441
1.86113,-0.000481076
1.98558,-0.000444184
2.11843,-0.000409467
2.26027,-0.000376813
2.4117,-0.00034615
2.57337,-0.000317404
2.74596,-0.000290497
2.93023,-0.000265342
3.12695,-0.000241851
3.33696,-0.000219939
3.56118,-0.000199509
3.80056,-0.000180492
4.05611,-0.000162772
4.32895,-0.000146327
4.62023,-0.000130984
4.9312,-0.000116817
5.26319,-0.000103531
5.61762,-9.13557e-05
5.99602,-7.98614e-05
6.4,-6.92443e-05
