Position,AxialVelocity
1.22465e-16,0.661362
0.0196636,0.655094
0.0361074,0.6406
0.0498585,0.622671
0.0613579,0.604154
0.0709742,0.586565
0.0790159,0.570606
0.0857408,0.556517
0.0913645,0.544289
0.0960673,0.533794
0.1,0.524852
0.104625,0.514171
0.109441,0.502886
0.114455,0.49099
0.119677,0.478478
0.125115,0.465352
0.130777,0.451615
0.136673,0.437276
0.142813,0.422349
0.149206,0.406856
0.155863,0.390821
0.162796,0.374276
0.170014,0.357259
0.177531,0.339816
0.185359,0.321998
0.19351,0.303861
0.201997,0.285472
0.210835,0.2669
0.220038,0.248223
0.229622,0.229522
0.239601,0.210885
0.249992,0.192404
0.260813,0.174175
0.272081,0.156297
0.283814,0.138872
0.296032,0.122002
0.308754,0.105792
0.322002,0.0903467
0.335798,0.0757698
0.350163,0.062166
0.365122,0.0496404
0.380698,0.038301
0.396918,0.0282623
0.413808,0.0196491
0.431396,0.0125997
0.44971,0.00724648
0.468781,0.00363396
0.488639,0.0015705
0.509318,0.000580999
0.530851,0.000105542
0.553274,-0.000225575
0.576623,-0.000533463
0.600936,-0.000819448
0.626254,-0.00106728
0.652617,-0.00127181
0.68007,-0.00143461
0.708656,-0.00155878
0.738424,-0.00164708
0.769421,-0.00170226
0.801698,-0.001727
0.835309,-0.00172401
0.870308,-0.001696
0.906753,-0.00164552
0.944704,-0.0015751
0.984222,-0.00148743
1.02537,-0.00138527
1.06822,-0.0012717
1.11284,-0.00115077
1.15931,-0.00102835
1.20769,-0.00091297
1.25807,-0.000814258
1.31054,-0.000738325
1.36517,-0.000683823
1.42205,-0.000643916
1.48129,-0.000611695
1.54297,-0.000583038
1.60721,-0.000556157
1.67409,-0.000530405
1.74374,-0.000505567
1.81626,-0.000481578
1.89178,-0.000458417
1.97043,-0.000436077
2.05231,-0.000414552
2.13759,-0.000393832
2.22638,-0.000373907
2.31884,-0.00035476
2.41513,-0.000336376
2.51538,-0.000318734
2.61979,-0.000301814
2.7285,-0.000285593
2.8417,-0.00027005
2.95958,-0.00025516
3.08233,-0.000240902
3.21015,-0.000227252
3.34325,-0.000214187
3.48185,-0.000201686
3.62618,-0.000189727
3.77646,-0.000178288
3.93296,-0.000167352
4.09592,-0.000156892
4.26561,-0.000146901
4.44231,-0.000137341
4.6263,-0.000128223
4.8179,-0.000119486
5.01742,-0.000111175
5.22517,-0.000103185
5.44151,-9.56181e-05
5.66679,-8.82953e-05
5.90137,-8.14164e-05
6.14564,-7.46663e-05
6.4,-6.84237e-05
