Position,AxialVelocity
1.10218e-15,0.104208
0.00520401,0.104206
0.0103397,0.104201
0.0154079,0.104193
0.0204095,0.104181
0.0253455,0.104166
0.0302166,0.104148
0.0350238,0.104128
0.0397678,0.104105
0.0444495,0.104079
0.0490697,0.104051
0.0536293,0.10402
0.0581289,0.103987
0.0625695,0.103952
0.0669517,0.103915
0.0712764,0.103876
0.0755443,0.103835
0.0797562,0.103792
0.0839127,0.103748
0.0880146,0.103702
0.0920627,0.103655
0.0960576,0.103606
0.1,0.103556
0.103743,0.103506
0.10754,0.103454
0.111392,0.103399
0.1153,0.103342
0.119264,0.103282
0.123286,0.103219
0.127366,0.103153
0.131505,0.103084
0.135704,0.103012
0.139964,0.102936
0.144285,0.102857
0.148669,0.102775
0.153116,0.102689
0.157628,0.102599
0.162205,0.102505
0.166848,0.102408
0.171559,0.102306
0.176337,0.102201
0.181185,0.102091
0.186103,0.101976
0.191092,0.101857
0.196154,0.101733
0.201288,0.101605
0.206497,0.101471
0.211781,0.101332
0.217142,0.101188
0.222581,0.101039
0.228098,0.100884
0.233695,0.100724
0.239373,0.100557
0.245133,0.100384
0.250976,0.100206
0.256905,0.100021
0.262918,0.0998291
0.269019,0.0996308
0.275209,0.0994257
0.281487,0.0992136
0.287857,0.0989942
0.294319,0.0987675
0.300875,0.0985332
0.307525,0.0982912
0.314271,0.0980413
0.321116,0.0977832
0.328059,0.0975169
0.335103,0.0972421
0.342249,0.0969586
0.349498,0.0966663
0.356852,0.096365
0.364312,0.0960544
0.371881,0.0957343
0.379559,0.0954047
0.387348,0.0950653
0.39525,0.0947159
0.403266,0.0943563
0.411399,0.0939863
0.419649,0.0936057
0.428018,0.0932144
0.436509,0.0928122
0.445122,0.0923988
0.45386,0.0919741
0.462725,0.091538
0.471718,0.0910902
0.480841,0.0906306
0.490096,0.090159
0.499485,0.0896752
0.50901,0.089179
0.518673,0.0886704
0.528475,0.0881492
0.53842,0.0876152
0.548508,0.0870683
0.558743,0.0865083
0.569126,0.0859352
0.579658,0.0853487
0.590344,0.0847489
0.601184,0.0841355
0.612181,0.0835085
0.623337,0.0828679
0.634654,0.0822135
0.646136,0.0815452
0.657783,0.0808631
0.669599,0.0801671
0.681587,0.0794571
0.693747,0.0787331
0.706084,0.0779951
0.718599,0.0772431
0.731295,0.0764772
0.744176,0.0756973
0.757242,0.0749036
0.770498,0.074096
0.783945,0.0732747
0.797587,0.0724397
0.811427,0.0715912
0.825467,0.0707292
0.83971,0.069854
0.854159,0.0689656
0.868818,0.0680643
0.883688,0.0671502
0.898774,0.0662235
0.914078,0.0652846
0.929604,0.0643336
0.945354,0.0633707
0.961333,0.0623964
0.977542,0.0614108
0.993987,0.0604144
1.01067,0.0594074
1.02759,0.0583902
1.04476,0.0573633
1.06218,0.0563269
1.07985,0.0552816
1.09777,0.0542278
1.11596,0.0531659
1.1344,0.0520965
1.15312,0.05102
1.1721,0.0499369
1.19136,0.0488479
1.2109,0.0477534
1.23073,0.046654
1.25083,0.0455504
1.27123,0.0444432
1.29193,0.0433329
1.31292,0.0422203
1.33422,0.041106
1.35583,0.0399907
1.37775,0.0388751
1.39999,0.0377599
1.42254,0.0366458
1.44543,0.0355336
1.46865,0.0344241
1.4922,0.033318
1.51609,0.032216
1.54033,0.031119
1.56492,0.0300278
1.58987,0.0289432
1.61517,0.027866
1.64085,0.0267969
1.66689,0.0257369
1.69331,0.0246868
1.72012,0.0236473
1.74731,0.0226194
1.77489,0.0216038
1.80288,0.0206015
1.83127,0.0196132
1.86007,0.0186398
1.88929,0.0176821
1.91893,0.0167409
1.949,0.0158171
1.9795,0.0149115
2.01045,0.0140248
2.04184,0.0131581
2.07369,0.0123119
2.106,0.0114872
2.13878,0.0106848
2.17203,0.00990538
2.20576,0.00914983
2.23998,0.00841893
2.2747,0.00771349
2.30992,0.00703433
2.34565,0.00638228
2.38189,0.00575818
2.41866,0.0051629
2.45597,0.00459736
2.49381,0.0040625
2.5322,0.00355931
2.57114,0.00308885
2.61065,0.00265224
2.65074,0.00225065
2.6914,0.00188532
2.73265,0.00155745
2.77449,0.00126816
2.81695,0.0010183
2.86001,0.000808145
2.90371,0.000637003
2.94803,0.000502823
2.99299,0.000401911
3.03861,0.000329071
3.08488,0.000278232
3.13183,0.000243351
3.17945,0.00021922
3.22777,0.000201876
3.27678,0.000188586
3.3265,0.000177605
3.37695,0.000167871
3.42812,0.000158755
3.48003,0.000149895
3.5327,0.00014108
3.58612,0.000132192
3.64032,0.000123165
3.69531,0.000113966
3.75109,0.000104583
3.80768,9.50154e-05
3.86508,8.5273e-05
3.92332,7.53728e-05
3.9824,6.53377e-05
4.04234,5.51957e-05
4.10314,4.49791e-05
4.16482,3.47248e-05
4.2274,2.4473e-05
4.29088,1.42671e-05
4.35528,4.15306e-06
4.42061,-5.82197e-06
4.48689,-1.56104e-05
4.55413,-2.51658e-05
4.62234,-3.44442e-05
4.69154,-4.34054e-05
4.76174,-5.20147e-05
4.83295,-6.02428e-05
4.9052,-6.8067e-05
4.97849,-7.54698e-05
5.05285,-8.24382e-05
5.12828,-8.8963e-05
5.2048,-9.50383e-05
5.28242,-0.000100661
5.36118,-0.000105833
5.44107,-0.000110559
5.52212,-0.000114847
5.60434,-0.000118711
5.68775,-0.000122162
5.77237,-0.000125214
5.85821,-0.00012788
5.9453,-0.000130172
6.03364,-0.000132099
6.12327,-0.000133672
6.21419,-0.000134897
6.30643,-0.000135782
6.4,-0.00013633
