Position,AxialVelocity
1.10218e-15,0.103212
0.00333333,0.103212
0.00666667,0.10321
0.01,0.103206
0.0133333,0.103201
0.0166667,0.103195
0.02,0.103187
0.0233333,0.103178
0.0266667,0.103167
0.03,0.103155
0.0333333,0.103142
0.0366667,0.103127
0.04,0.103111
0.0433333,0.103093
0.0466667,0.103074
0.05,0.103054
0.0533333,0.103032
0.0566667,0.103009
0.06,0.102984
0.0633333,0.102958
0.0666667,0.10293
0.07,0.102902
0.0733333,0.102871
0.0766667,0.10284
0.08,0.102807
0.0833333,0.102772
0.0866667,0.102737
0.09,0.102699
0.0933333,0.102661
0.0966667,0.102621
0.1,0.10258
0.102942,0.102542
0.10591,0.102503
0.108905,0.102463
0.111926,0.102421
0.114975,0.102377
0.118051,0.102333
0.121154,0.102286
0.124285,0.102238
0.127445,0.102188
0.130632,0.102137
0.133848,0.102084
0.137093,0.102029
0.140367,0.101972
0.143671,0.101913
0.147004,0.101853
0.150366,0.101791
0.153759,0.101727
0.157182,0.101661
0.160636,0.101593
0.164121,0.101523
0.167637,0.101451
0.171185,0.101376
0.174764,0.1013
0.178376,0.101221
0.182019,0.10114
0.185696,0.101057
0.189405,0.100972
0.193147,0.100884
0.196923,0.100794
0.200733,0.100701
0.204577,0.100606
0.208455,0.100508
0.212369,0.100408
0.216317,0.100305
0.2203,0.1002
0.224319,0.100092
0.228375,0.0999808
0.232466,0.099867
0.236594,0.0997504
0.240759,0.0996308
0.244962,0.0995084
0.249202,0.0993829
0.25348,0.0992544
0.257796,0.0991228
0.262151,0.098988
0.266545,0.0988501
0.270978,0.0987089
0.275451,0.0985644
0.279965,0.0984166
0.284518,0.0982654
0.289112,0.0981107
0.293748,0.0979525
0.298425,0.0977908
0.303144,0.0976255
0.307905,0.0974565
0.312708,0.0972839
0.317555,0.0971074
0.322445,0.0969272
0.327379,0.0967431
0.332357,0.0965551
0.33738,0.0963631
0.342448,0.096167
0.347561,0.0959669
0.35272,0.0957627
0.357925,0.0955543
0.363177,0.0953417
0.368475,0.0951247
0.373822,0.0949035
0.379216,0.0946778
0.384658,0.0944477
0.390149,0.0942131
0.395689,0.093974
0.401279,0.0937302
0.406919,0.0934818
0.41261,0.0932288
0.418351,0.0929709
0.424144,0.0927083
0.429989,0.0924408
0.435886,0.0921684
0.441836,0.0918911
0.447839,0.0916088
0.453896,0.0913214
0.460007,0.091029
0.466173,0.0907314
0.472394,0.0904286
0.478671,0.0901206
0.485004,0.0898074
0.491394,0.0894889
0.497841,0.089165
0.504346,0.0888357
0.510909,0.088501
0.517531,0.0881608
0.524212,0.0878152
0.530953,0.087464
0.537754,0.0871072
0.544616,0.0867448
0.55154,0.0863768
0.558526,0.0860032
0.565574,0.0856238
0.572685,0.0852387
0.57986,0.0848479
0.587099,0.0844513
0.594404,0.0840489
0.601773,0.0836407
0.609209,0.0832267
0.616711,0.0828068
0.62428,0.082381
0.631917,0.0819494
0.639623,0.0815119
0.647397,0.0810684
0.655241,0.0806191
0.663156,0.0801639
0.671141,0.0797027
0.679198,0.0792356
0.687327,0.0787626
0.695529,0.0782837
0.703804,0.0777989
0.712153,0.0773082
0.720577,0.0768116
0.729077,0.0763091
0.737652,0.0758008
0.746305,0.0752866
0.755035,0.0747666
0.763843,0.0742408
0.77273,0.0737093
0.781696,0.073172
0.790743,0.072629
0.799871,0.0720803
0.809081,0.071526
0.818373,0.0709661
0.827748,0.0704006
0.837208,0.0698297
0.846752,0.0692533
0.856381,0.0686714
0.866097,0.0680843
0.8759,0.0674918
0.88579,0.0668941
0.895769,0.0662913
0.905838,0.0656834
0.915997,0.0650704
0.926246,0.0644525
0.936588,0.0638298
0.947022,0.0632022
0.957549,0.06257
0.968171,0.0619331
0.978888,0.0612917
0.989701,0.0606459
1.00061,0.0599957
1.01162,0.0593414
1.02272,0.0586829
1.03393,0.0580203
1.04524,0.0573539
1.05664,0.0566837
1.06815,0.0560098
1.07976,0.0553324
1.09148,0.0546515
1.1033,0.0539673
1.11523,0.05328
1.12726,0.0525896
1.1394,0.0518963
1.15165,0.0512003
1.16401,0.0505017
1.17649,0.0498006
1.18907,0.0490972
1.20176,0.0483916
1.21457,0.047684
1.2275,0.0469745
1.24054,0.0462634
1.25369,0.0455508
1.26697,0.0448368
1.28036,0.0441216
1.29387,0.0434054
1.3075,0.0426884
1.32126,0.0419707
1.33514,0.0412526
1.34914,0.0405342
1.36327,0.0398156
1.37753,0.0390972
1.39191,0.038379
1.40642,0.0376613
1.42106,0.0369443
1.43584,0.0362281
1.45074,0.035513
1.46578,0.0347992
1.48095,0.0340868
1.49626,0.0333761
1.51171,0.0326673
1.52729,0.0319605
1.54302,0.031256
1.55888,0.0305541
1.57489,0.0298548
1.59104,0.0291585
1.60734,0.0284653
1.62378,0.0277755
1.64037,0.0270892
1.6571,0.0264067
1.67399,0.0257282
1.69103,0.0250539
1.70822,0.0243841
1.72556,0.0237189
1.74306,0.0230585
1.76072,0.0224032
1.77853,0.0217533
1.79651,0.0211088
1.81464,0.0204701
1.83294,0.0198373
1.8514,0.0192106
1.87003,0.0185904
1.88882,0.0179767
1.90779,0.0173698
1.92692,0.01677
1.94622,0.0161773
1.9657,0.0155921
1.98535,0.0150145
2.00517,0.0144448
2.02518,0.0138831
2.04536,0.0133297
2.06572,0.0127848
2.08627,0.0122485
2.107,0.0117212
2.12792,0.0112028
2.14902,0.0106938
2.17031,0.0101943
2.1918,0.00970441
2.21347,0.00922443
2.23534,0.00875453
2.25741,0.00829491
2.27967,0.00784578
2.30213,0.00740735
2.3248,0.0069798
2.34766,0.00656336
2.37073,0.00615824
2.39401,0.00576463
2.4175,0.00538277
2.44119,0.00501288
2.4651,0.00465518
