Position,AxialVelocity
1.22465e-16,0.700866
0.0323586,0.680805
0.0551457,0.644948
0.0711924,0.611574
0.0824925,0.585111
0.0904501,0.565376
0.0960538,0.551054
0.1,0.540797
0.107391,0.521305
0.115233,0.500331
0.123554,0.47789
0.132383,0.454036
0.141751,0.428849
0.151691,0.402439
0.162238,0.374951
0.173429,0.346561
0.185304,0.317479
0.197904,0.287947
0.211273,0.258232
0.225458,0.228628
0.24051,0.199447
0.256481,0.171016
0.273427,0.143672
0.291408,0.117753
0.310487,0.0936005
0.330732,0.07155
0.352212,0.0519394
0.375004,0.0351181
0.399188,0.0214653
0.424848,0.011364
0.452076,0.00497336
0.480966,0.00177535
0.51162,0.000519061
0.544146,-2.28095e-05
0.578659,-0.000427534
0.615279,-0.000790228
0.654135,-0.00108387
0.695364,-0.00129542
0.73911,-0.00143194
0.785528,-0.00150332
0.834781,-0.00151873
0.887041,-0.00148628
0.942492,-0.00141383
1.00133,-0.00131022
1.06376,-0.00118489
1.13,-0.00104803
1.20029,-0.000911684
1.27487,-0.000789012
1.354,-0.000690007
1.43797,-0.000616855
1.52706,-0.00056412
1.6216,-0.000523749
1.72191,-0.000489677
1.82834,-0.000458811
1.94127,-0.000429909
2.0611,-0.000402529
2.18824,-0.000376514
2.32315,-0.000351803
2.4663,-0.000328355
2.61819,-0.000306126
2.77935,-0.000285071
2.95036,-0.000265133
3.1318,-0.000246248
3.32433,-0.000228346
3.52862,-0.000211348
3.74537,-0.000195168
3.97537,-0.000179712
4.21941,-0.00016488
4.47835,-0.000150564
4.75311,-0.000136654
5.04464,-0.000123053
5.35397,-0.000109641
5.6822,-9.6424e-05
6.03047,-8.32786e-05
6.4,-7.02046e-05
