Position,AxialVelocity
1.22465e-16,0.659459
0.0102962,0.657742
0.0199131,0.653077
0.0288956,0.646136
0.0372854,0.637513
0.0451217,0.62771
0.0524411,0.617142
0.0592775,0.606142
0.065663,0.59497
0.0716271,0.583828
0.0771978,0.572865
0.082401,0.562191
0.0872609,0.551881
0.0918001,0.541989
0.0960399,0.532544
0.1,0.523566
0.10333,0.515911
0.106749,0.507964
0.110258,0.499725
0.113861,0.491193
0.11756,0.482368
0.121357,0.473252
0.125255,0.463848
0.129257,0.454159
0.133365,0.444189
0.137583,0.433944
0.141912,0.423432
0.146357,0.41266
0.150921,0.401639
0.155605,0.390378
0.160414,0.378891
0.165352,0.367189
0.17042,0.355289
0.175623,0.343207
0.180965,0.330959
0.186449,0.318565
0.192079,0.306044
0.197858,0.293419
0.203792,0.280711
0.209883,0.267944
0.216136,0.255144
0.222556,0.242336
0.229146,0.229547
0.235912,0.216804
0.242857,0.204137
0.249987,0.191574
0.257308,0.179146
0.264822,0.166883
0.272537,0.154814
0.280457,0.142972
0.288588,0.131387
0.296935,0.120091
0.305504,0.109114
0.314301,0.0984867
0.323332,0.0882405
0.332603,0.0784053
0.342121,0.0690114
0.351892,0.0600886
0.361923,0.051667
0.372221,0.0437769
0.382793,0.0364494
0.393646,0.029717
0.404788,0.0236146
0.416226,0.0181799
0.427968,0.0134543
0.440023,0.00948127
0.452399,0.00629842
0.465103,0.00391802
0.478146,0.00229338
0.491536,0.00129398
0.505282,0.000723491
0.519394,0.000381911
0.533881,0.000127897
0.548753,-0.000103626
0.564021,-0.000327178
0.579696,-0.000539323
0.595787,-0.000734834
0.612306,-0.000910869
0.629265,-0.00106702
0.646675,-0.00120399
0.664548,-0.00132264
0.682897,-0.00142381
0.701733,-0.00150831
0.721071,-0.00157694
0.740923,-0.00163045
0.761304,-0.00166962
0.782226,-0.00169516
0.803706,-0.00170783
0.825756,-0.00170835
0.848393,-0.00169746
0.871633,-0.00167588
0.89549,-0.0016443
0.919983,-0.00160339
0.945127,-0.00155386
0.970939,-0.00149637
0.997439,-0.00143162
1.02464,-0.00136031
1.05257,-0.00128324
1.08124,-0.00120136
1.11068,-0.001116
1.14089,-0.00102915
1.17191,-0.000943871
1.20376,-0.000864509
1.23645,-0.000795909
1.27002,-0.000741323
1.30447,-0.000700515
1.33984,-0.000670188
1.37616,-0.000646298
1.41344,-0.000625832
1.45171,-0.000607095
1.491,-0.000589278
1.53133,-0.000572029
1.57274,-0.0005552
1.61525,-0.000538732
1.65889,-0.000522604
1.70369,-0.00050681
1.74968,-0.000491348
1.7969,-0.000476219
1.84537,-0.000461426
1.89513,-0.000446969
1.94622,-0.000432848
1.99866,-0.000419062
2.0525,-0.000405608
2.10778,-0.000392486
2.16452,-0.000379691
2.22277,-0.00036722
2.28257,-0.000355068
2.34397,-0.000343231
2.40699,-0.000331703
2.47169,-0.000320479
2.53812,-0.000309553
2.60631,-0.000298918
2.67631,-0.00028857
2.74818,-0.000278502
2.82196,-0.000268706
2.8977,-0.000259178
2.97546,-0.00024991
3.05528,-0.000240896
3.13723,-0.00023213
3.22136,-0.000223606
3.30773,-0.000215316
3.3964,-0.000207257
3.48742,-0.00019942
3.58086,-0.000191802
3.6768,-0.000184394
3.77528,-0.000177194
3.87638,-0.000170193
3.98017,-0.000163389
4.08673,-0.000156774
4.19612,-0.000150344
4.30841,-0.000144094
4.4237,-0.00013802
4.54205,-0.000132114
4.66355,-0.000126377
4.78829,-0.000120796
4.91634,-0.000115378
5.0478,-0.000110103
5.18275,-0.000104986
5.3213,-9.99966e-05
5.46353,-9.51668e-05
5.60955,-9.04414e-05
5.75945,-8.58831e-05
5.91334,-8.13979e-05
6.07132,-7.7095e-05
6.2335,-7.28208e-05
6.4,-6.87512e-05
