Position,AxialVelocity
1.22465e-16,0.636446
0.00520401,0.636055
0.0103397,0.634903
0.0154079,0.633028
0.0204095,0.630467
0.0253455,0.627261
0.0302166,0.623453
0.0350238,0.619085
0.0397678,0.614199
0.0444495,0.608838
0.0490697,0.603046
0.0536293,0.596862
0.0581289,0.590327
0.0625695,0.58348
0.0669517,0.576358
0.0712764,0.568996
0.0755443,0.561428
0.0797562,0.553684
0.0839127,0.545796
0.0880146,0.537788
0.0920627,0.529689
0.0960576,0.52152
0.1,0.513305
0.102225,0.508606
0.104489,0.503781
0.106794,0.498831
0.109139,0.493754
0.111525,0.48855
0.113953,0.483218
0.116424,0.477759
0.118938,0.472173
0.121497,0.466459
0.124101,0.460619
0.126751,0.454652
0.129447,0.44856
0.132191,0.442343
0.134983,0.436003
0.137825,0.429541
0.140716,0.422958
0.143659,0.416257
0.146653,0.40944
0.1497,0.402509
0.152801,0.395467
0.155956,0.388317
0.159167,0.381061
0.162435,0.373704
0.16576,0.366248
0.169144,0.358698
0.172587,0.351059
0.176091,0.343333
0.179657,0.335527
0.183285,0.327645
0.186978,0.319693
0.190735,0.311675
0.194559,0.303598
0.19845,0.295468
0.202409,0.287292
0.206439,0.279075
0.210539,0.270824
0.214712,0.262547
0.218958,0.25425
0.223279,0.245942
0.227676,0.23763
0.23215,0.229321
0.236704,0.221024
0.241337,0.212748
0.246052,0.204499
0.250851,0.196288
0.255733,0.188122
0.260702,0.180011
0.265759,0.171962
0.270904,0.163987
0.27614,0.156092
0.281469,0.148288
0.286891,0.140584
0.292408,0.132989
0.298023,0.125511
0.303737,0.118161
0.309552,0.110947
0.315469,0.103879
0.32149,0.0969654
0.327617,0.0902155
0.333853,0.0836383
0.340198,0.0772426
0.346655,0.0710375
0.353225,0.0650316
0.359912,0.0592338
0.366716,0.0536529
0.37364,0.0482977
0.380686,0.043177
0.387856,0.0382999
0.395153,0.0336757
0.402578,0.029314
0.410134,0.0252247
0.417823,0.0214186
0.425647,0.0179069
0.43361,0.0147018
0.441712,0.0118162
0.449957,0.00926312
0.458348,0.00705477
0.466887,0.00519992
0.475575,0.00369952
0.484417,0.00254058
0.493415,0.00169056
0.502571,0.00109664
0.511889,0.000692773
0.521371,0.000412103
0.531019,0.000199185
0.540838,1.71053e-05
0.55083,-0.000152769
0.560998,-0.000316792
0.571344,-0.00047546
0.581874,-0.000627336
0.592588,-0.000770885
0.603492,-0.000905123
0.614587,-0.00102967
0.625878,-0.00114454
0.637368,-0.00124993
0.649061,-0.0013461
0.660959,-0.00143335
0.673067,-0.00151195
0.685388,-0.0015822
0.697927,-0.00164436
0.710686,-0.0016987
0.72367,-0.00174548
0.736883,-0.00178495
0.750329,-0.00181734
0.764011,-0.00184291
0.777935,-0.00186188
0.792103,-0.0018745
0.806522,-0.00188101
0.821194,-0.00188162
0.836125,-0.00187658
0.851319,-0.00186611
0.866781,-0.00185043
0.882515,-0.00182977
0.898527,-0.00180432
0.91482,-0.00177431
0.9314,-0.00173993
0.948273,-0.00170138
0.965443,-0.00165886
0.982915,-0.00161255
1.0007,-0.00156265
1.01879,-0.00150934
1.0372,-0.00145283
1.05594,-0.00139334
1.075,-0.00133117
1.09441,-0.00126667
1.11415,-0.00120039
1.13424,-0.00113311
1.15469,-0.00106605
1.1755,-0.00100098
1.19667,-0.00094028
1.21821,-0.000886472
1.24014,-0.000841431
1.26245,-0.000805512
1.28516,-0.000777453
1.30826,-0.000755136
1.33177,-0.000736507
1.3557,-0.000720055
1.38005,-0.000704847
1.40483,-0.000690363
1.43004,-0.000676329
1.4557,-0.000662606
1.48181,-0.000649125
1.50838,-0.000635852
1.53541,-0.000622772
1.56293,-0.000609877
1.59093,-0.000597165
1.61942,-0.000584637
1.64841,-0.000572291
1.67792,-0.000560129
1.70794,-0.000548151
1.73849,-0.00053636
1.76959,-0.000524754
1.80123,-0.000513334
1.83342,-0.000502101
1.86619,-0.000491054
1.89953,-0.000480193
1.93346,-0.000469517
1.96798,-0.000459026
2.00312,-0.000448718
2.03887,-0.000438592
2.07526,-0.000428647
2.11228,-0.000418881
2.14996,-0.000409293
2.1883,-0.000399881
2.22731,-0.000390643
2.26702,-0.000381577
2.30742,-0.000372681
2.34854,-0.000363953
2.39038,-0.000355391
2.43295,-0.000346992
2.47628,-0.000338754
2.52037,-0.000330675
2.56524,-0.000322753
2.61089,-0.000314984
2.65735,-0.000307366
2.70463,-0.000299898
2.75275,-0.000292575
2.80171,-0.000285397
2.85153,-0.000278361
2.90223,-0.000271463
2.95383,-0.000264702
3.00633,-0.000258075
3.05976,-0.000251579
3.11413,-0.000245213
3.16945,-0.000238974
3.22576,-0.00023286
3.28305,-0.000226867
3.34135,-0.000220995
3.40068,-0.00021524
3.46106,-0.0002096
3.5225,-0.000204074
3.58502,-0.000198659
3.64865,-0.000193352
3.71339,-0.000188153
3.77928,-0.000183058
3.84632,-0.000178066
3.91455,-0.000173174
3.98398,-0.000168382
4.05463,-0.000163686
4.12653,-0.000159085
4.19969,-0.000154577
4.27414,-0.000150161
4.34991,-0.000145834
4.42701,-0.000141594
4.50546,-0.000137441
4.5853,-0.000133372
4.66655,-0.000129385
4.74923,-0.000125479
4.83336,-0.000121653
4.91898,-0.000117902
5.0061,-0.000114231
5.09476,-0.00011063
5.18498,-0.000107105
5.27679,-0.000103646
5.37022,-0.000100264
5.4653,-9.69394e-05
5.56205,-9.36915e-05
5.6605,-9.04933e-05
5.76069,-8.73736e-05
5.86265,-8.42914e-05
5.9664,-8.12922e-05
6.07197,-7.83138e-05
6.17941,-7.54259e-05
6.28874,-7.25377e-05
6.4,-6.97505e-05
