Position,AxialVelocity
1.22465e-16,0.640389
0.00333333,0.640225
0.00666667,0.639734
0.01,0.638916
0.0133333,0.637775
0.0166667,0.636312
0.02,0.634531
0.0233333,0.632437
0.0266667,0.630033
0.03,0.627327
0.0333333,0.624322
0.0366667,0.621028
0.04,0.61745
0.0433333,0.613598
0.0466667,0.609478
0.05,0.6051
0.0533333,0.600473
0.0566667,0.595607
0.06,0.59051
0.0633333,0.585194
0.0666667,0.579668
0.07,0.573942
0.0733333,0.568027
0.0766667,0.561933
0.08,0.55567
0.0833333,0.54925
0.0866667,0.542681
0.09,0.535975
0.0933333,0.529142
0.0966667,0.522191
0.1,0.515133
0.10195,0.510958
0.10392,0.506706
0.105912,0.502378
0.107924,0.497975
0.109958,0.493496
0.112014,0.488943
0.114091,0.484316
0.116191,0.479616
0.118313,0.474844
0.120458,0.470001
0.122625,0.465087
0.124815,0.460105
0.127029,0.455054
0.129266,0.449936
0.131527,0.444753
0.133812,0.439506
0.136122,0.434195
0.138456,0.428824
0.140815,0.423392
0.143199,0.417902
0.145608,0.412355
0.148043,0.406754
0.150503,0.401099
0.15299,0.395393
0.155504,0.389637
0.158044,0.383834
0.160611,0.377986
0.163206,0.372094
0.165828,0.366162
0.168478,0.36019
0.171156,0.354182
0.173863,0.34814
0.176598,0.342066
0.179363,0.335962
0.182157,0.329831
0.18498,0.323676
0.187834,0.3175
0.190718,0.311303
0.193633,0.305091
0.196578,0.298865
0.199556,0.292627
0.202564,0.286381
0.205605,0.28013
0.208678,0.273877
0.211784,0.267624
0.214923,0.261374
0.218095,0.25513
0.221301,0.248895
0.224541,0.242673
0.227816,0.236466
0.231125,0.230277
0.23447,0.224109
0.23785,0.217966
0.241266,0.21185
0.244718,0.205764
0.248208,0.199712
0.251734,0.193697
0.255298,0.187721
0.258899,0.181788
0.262539,0.175901
0.266218,0.170063
0.269936,0.164277
0.273693,0.158545
0.277491,0.152872
0.281329,0.147259
0.285207,0.14171
0.289127,0.136228
0.293089,0.130816
0.297092,0.125476
0.301139,0.120212
0.305228,0.115026
0.309361,0.109921
0.313538,0.1049
0.317759,0.0999647
0.322025,0.095119
0.326337,0.0903651
0.330694,0.0857055
0.335098,0.0811429
0.339549,0.0766797
0.344047,0.0723184
0.348592,0.0680615
0.353186,0.0639115
0.357829,0.0598706
0.362522,0.0559414
0.367264,0.0521262
0.372057,0.0484274
0.376901,0.0448473
0.381796,0.0413884
0.386743,0.0380531
0.391743,0.0348438
0.396797,0.0317632
0.401903,0.0288139
0.407065,0.0259985
0.412281,0.02332
0.417553,0.0207813
0.42288,0.0183857
0.428265,0.0161364
0.433706,0.014037
0.439206,0.0120911
0.444764,0.0103024
0.450381,0.00867451
0.456058,0.00721045
0.461795,0.00591243
0.467594,0.00478104
0.473454,0.00381432
0.479376,0.00300669
0.485361,0.00234816
0.491411,0.00182384
0.497524,0.00141467
0.503702,0.00109893
0.509946,0.000854448
0.516257,0.000660747
0.522635,0.000500631
0.52908,0.000361075
0.535594,0.000233296
0.542178,0.000112108
0.548831,-5.09732e-06
0.555555,-0.00011933
0.562351,-0.000230728
0.569219,-0.000339028
0.57616,-0.000443849
