Position,AxialVelocity
6.12323e-16,0.178327
0.00520401,0.178318
0.0103397,0.178293
0.0154079,0.17825
0.0204095,0.178192
0.0253455,0.178119
0.0302166,0.178031
0.0350238,0.17793
0.0397678,0.177815
0.0444495,0.177687
0.0490697,0.177548
0.0536293,0.177397
0.0581289,0.177235
0.0625695,0.177063
0.0669517,0.176881
0.0712764,0.17669
0.0755443,0.176489
0.0797562,0.176281
0.0839127,0.176064
0.0880146,0.17584
0.0920627,0.175609
0.0960576,0.175371
0.1,0.175127
0.103743,0.174886
0.10754,0.174634
0.111392,0.17437
0.1153,0.174093
0.119264,0.173803
0.123286,0.173499
0.127366,0.173182
0.131505,0.17285
0.135704,0.172504
0.139964,0.172143
0.144285,0.171767
0.148669,0.171375
0.153116,0.170967
0.157628,0.170542
0.162205,0.1701
0.166848,0.169641
0.171559,0.169164
0.176337,0.168669
0.181185,0.168155
0.186103,0.167623
0.191092,0.16707
0.196154,0.166498
0.201288,0.165905
0.206497,0.165292
0.211781,0.164657
0.217142,0.164001
0.222581,0.163323
0.228098,0.162622
0.233695,0.161899
0.239373,0.161153
0.245133,0.160382
0.250976,0.159588
0.256905,0.15877
0.262918,0.157927
0.269019,0.157058
0.275209,0.156165
0.281487,0.155246
0.287857,0.1543
0.294319,0.153329
0.300875,0.152331
0.307525,0.151305
0.314271,0.150253
0.321116,0.149174
0.328059,0.148067
0.335103,0.146932
0.342249,0.145769
0.349498,0.144579
0.356852,0.14336
0.364312,0.142113
0.371881,0.140837
0.379559,0.139534
0.387348,0.138202
0.39525,0.136841
0.403266,0.135453
0.411399,0.134036
0.419649,0.132591
0.428018,0.131118
0.436509,0.129617
0.445122,0.128089
0.45386,0.126534
0.462725,0.124952
0.471718,0.123343
0.480841,0.121707
0.490096,0.120046
0.499485,0.118359
0.50901,0.116648
0.518673,0.114912
0.528475,0.113152
0.53842,0.111369
0.548508,0.109563
0.558743,0.107736
0.569125,0.105887
0.579658,0.104018
0.590344,0.102129
0.601184,0.100221
0.612181,0.0982958
0.623337,0.0963536
0.634654,0.0943955
0.646136,0.0924224
0.657783,0.0904356
0.669599,0.088436
0.681587,0.0864249
0.693747,0.0844034
0.706084,0.0823727
0.718599,0.0803341
0.731295,0.0782889
0.744176,0.0762383
0.757242,0.0741839
0.770498,0.0721269
0.783945,0.0700687
0.797587,0.0680108
0.811427,0.0659548
0.825467,0.063902
0.83971,0.061854
0.854159,0.0598124
0.868818,0.0577787
0.883688,0.0557545
0.898774,0.0537414
0.914078,0.051741
0.929604,0.0497549
0.945354,0.0477848
0.961333,0.0458323
0.977542,0.043899
0.993987,0.0419867
1.01067,0.0400968
1.02759,0.0382312
1.04476,0.0363913
1.06218,0.034579
1.07985,0.0327957
1.09777,0.0310431
1.11596,0.0293228
1.1344,0.0276364
1.15312,0.0259854
1.1721,0.0243715
1.19136,0.0227962
1.2109,0.0212611
1.23073,0.0197675
1.25083,0.0183171
1.27123,0.0169114
1.29193,0.0155518
1.31292,0.0142399
1.33422,0.0129771
1.35583,0.011765
1.37775,0.0106051
1.39999,0.00949891
1.42254,0.00844814
1.44543,0.00745447
1.46865,0.00651964
1.4922,0.00564555
1.51609,0.00483418
1.54033,0.00408765
1.56492,0.00340814
1.58987,0.00279791
1.61517,0.00225904
1.64085,0.00179322
1.66689,0.00140116
1.69331,0.00108191
1.72012,0.000831947
1.74731,0.000644612
1.77489,0.000510225
1.80288,0.000417256
1.83127,0.000354112
1.86007,0.000310799
1.88929,0.000279749
1.91893,0.000255809
1.949,0.000235728
1.9795,0.000217563
2.01045,0.000200192
2.04184,0.000182981
2.07369,0.000165584
2.106,0.000147822
2.13878,0.000129617
2.17203,0.000110955
2.20576,9.18607e-05
2.23998,7.23877e-05
2.2747,5.26101e-05
2.30992,3.26168e-05
2.34565,1.25079e-05
2.38189,-7.6084e-06
2.41866,-2.76192e-05
2.45597,-4.74098e-05
2.49381,-6.6867e-05
2.5322,-8.58825e-05
2.57114,-0.000104356
2.61065,-0.0001222
2.65074,-0.00013934
2.6914,-0.000155715
2.73265,-0.000171281
2.77449,-0.000186007
2.81695,-0.000199873
2.86001,-0.000212865
2.90371,-0.000224978
2.94803,-0.000236212
2.99299,-0.000246574
3.03861,-0.000256079
3.08488,-0.000264746
3.13183,-0.000272601
3.17945,-0.000279673
3.22777,-0.000285989
3.27678,-0.000291576
3.3265,-0.000296459
3.37695,-0.000300661
3.42812,-0.000304203
3.48003,-0.000307104
3.5327,-0.00030938
3.58612,-0.000311048
3.64032,-0.000312124
3.69531,-0.000312621
3.75109,-0.000312554
3.80768,-0.000311935
3.86508,-0.000310777
3.92332,-0.000309093
3.9824,-0.000306893
4.04234,-0.000304191
4.10314,-0.000300995
4.16482,-0.000297317
4.2274,-0.000293168
4.29088,-0.000288555
4.35528,-0.000283489
4.42061,-0.000277979
4.48689,-0.000272032
4.55413,-0.000265657
4.62234,-0.000258861
4.69154,-0.00025165
4.76174,-0.000244032
4.83295,-0.000236012
4.9052,-0.000227598
4.97849,-0.000218795
5.05285,-0.000209612
5.12828,-0.000200058
5.2048,-0.000190145
5.28242,-0.00017989
5.36118,-0.000169318
5.44107,-0.000158467
5.52212,-0.000147396
5.60434,-0.000136195
5.68775,-0.000125
5.77237,-0.000114014
5.85821,-0.000103521
5.9453,-9.3865e-05
6.03364,-8.53951e-05
6.12327,-7.83472e-05
6.21419,-7.27501e-05
6.30643,-6.84173e-05
6.4,-6.50577e-05
