Position,AxialVelocity
0.0,1.20918
0.00423998,1.20752
0.00852659,1.20595
0.0128604,1.20438
0.0172418,1.20292
0.0216714,1.20158
0.0261498,1.20039
0.0306774,1.19938
0.0352549,1.19855
0.0398826,1.19792
0.0445613,1.1975
0.0492915,1.19728
0.0540737,1.19723
0.0589084,1.19735
0.0637964,1.1976
0.0687382,1.19795
0.0737343,1.19838
0.0787853,1.19885
0.0838919,1.19934
0.0890547,1.19981
0.0942743,1.20025
0.0995513,1.20063
0.104886,1.20093
0.11028,1.20114
0.115733,1.20125
0.121246,1.20124
0.12682,1.20111
0.132455,1.20085
0.138152,1.20047
0.143911,1.19993
0.149734,1.19925
0.155622,1.1984
0.161573,1.1974
0.167591,1.19623
0.173674,1.19489
0.179824,1.19338
0.186043,1.19168
0.192329,1.18981
0.198685,1.18774
0.20511,1.18548
0.211606,1.18302
0.218174,1.18037
0.224814,1.1775
0.231527,1.17444
0.238314,1.17116
0.245175,1.16767
0.252112,1.16398
0.259125,1.16007
0.266215,1.15594
0.273384,1.1516
0.280631,1.14705
0.287958,1.14229
0.295365,1.13732
0.302854,1.13213
0.310426,1.12675
0.31808,1.12115
0.325819,1.11536
0.333643,1.10938
0.341553,1.1032
0.34955,1.09684
0.357635,1.0903
0.365809,1.0836
0.374073,1.07673
0.382428,1.0697
0.390875,1.06253
0.399414,1.05523
0.408048,1.04779
0.416776,1.04023
0.425601,1.03256
0.434522,1.02478
0.443542,1.01692
0.452661,1.00897
0.46188,1.00094
0.471201,0.992845
0.480624,0.984691
0.490151,0.976486
0.499783,0.968237
0.50952,0.959953
0.519365,0.95164
0.529318,0.943305
0.53938,0.934955
0.549554,0.926595
0.559839,0.918231
0.570237,0.909869
0.580749,0.901514
0.591378,0.893171
0.602123,0.884845
0.612986,0.876539
0.623969,0.868259
0.635073,0.860008
0.646298,0.851788
0.657648,0.843604
0.669122,0.835457
0.680722,0.827352
0.69245,0.81929
0.704307,0.811274
0.716294,0.803305
0.728413,0.795386
0.740666,0.787519
0.753053,0.779706
0.765577,0.771946
0.778238,0.764242
0.791039,0.756596
0.80398,0.749007
0.817064,0.741477
0.830292,0.734007
0.843665,0.726598
0.857185,0.719249
0.870854,0.711962
0.884673,0.704738
0.898645,0.697575
0.91277,0.690475
0.92705,0.683438
0.941488,0.676465
0.956084,0.669554
0.970841,0.662707
0.98576,0.655922
1.00084,0.649201
1.01609,0.642543
1.03151,0.635948
1.0471,0.629416
1.06285,0.622947
1.07879,0.616539
1.09489,0.610194
1.11118,0.603911
1.12764,0.59769
1.14428,0.591529
1.16111,0.58543
1.17812,0.579391
1.19532,0.573412
1.21271,0.567493
1.23029,0.561633
1.24806,0.555832
1.26603,0.55009
