      r       	      z       	     U_r      	    U_phi     	     U_z      	   U_r U_r       U_phi U_phi   	   U_z U_z   	   U_r U_phi   	   U_r U_z    	
0.000000000000	0.000000000000	-9.1354419e-05	-1.7184684e-06	1.34758380e+00	2.26074430e-03	2.25869960e-03	1.82033900e+00	-1.2430959e-06	-1.2838652e-04	
3.71000886e-02	0.000000000000	-3.2650699e-06	-2.6992592e-05	1.34492023e+00	2.27955853e-03	2.30426909e-03	1.81335125e+00	-1.2205597e-07	3.30944007e-04	
7.55173554e-02	0.000000000000	-3.6559205e-06	-6.6482719e-05	1.33671384e+00	2.34004610e-03	2.43801260e-03	1.79190527e+00	-5.8298142e-08	6.82477597e-04	
1.15298564e-01	0.000000000000	-3.0716153e-06	-9.4056386e-05	1.32275979e+00	2.44193756e-03	2.65456333e-03	1.75573579e+00	-1.5051338e-07	1.05246188e-03	
1.56492140e-01	0.000000000000	-2.9778223e-06	-7.9963287e-05	1.30300718e+00	2.58319365e-03	2.94826151e-03	1.70518652e+00	-6.2090706e-07	1.43837070e-03	
1.99148226e-01	0.000000000000	-3.5733103e-06	-6.9454821e-05	1.27738057e+00	2.75168277e-03	3.29833289e-03	1.64077977e+00	-8.9202631e-07	1.83985039e-03	
2.43318747e-01	0.000000000000	-3.5579678e-06	-1.0695227e-04	1.24555823e+00	2.90860445e-03	3.67249197e-03	1.56277346e+00	-4.7835769e-07	2.25661485e-03	
2.89057471e-01	0.000000000000	-2.1284051e-06	-1.6063286e-04	1.20593055e+00	2.96235700e-03	3.99608797e-03	1.46891424e+00	-1.5697057e-07	2.67728006e-03	
3.36420073e-01	0.000000000000	1.48703164e-06	-2.0196712e-04	1.15263545e+00	2.72858983e-03	4.13337702e-03	1.34849119e+00	8.17285017e-07	3.06065857e-03	
3.85464207e-01	0.000000000000	2.48268493e-06	-1.0869647e-04	1.06396472e+00	1.95607446e-03	3.93078234e-03	1.16090234e+00	9.27576357e-07	3.23209201e-03	
4.36249572e-01	0.000000000000	-4.4123349e-07	-1.9606932e-05	8.47752760e-01	7.07669580e-04	3.13026716e-03	7.57258462e-01	-7.6902044e-08	2.45983520e-03	
4.88837990e-01	0.000000000000	-1.3938858e-07	-7.1557358e-06	1.96924494e-01	5.16434483e-06	4.62993780e-04	4.30004909e-02	1.73211113e-09	5.26736078e-05	
5.43293473e-01	0.000000000000	1.12689169e-15	7.21852630e-16	-2.1392974e-18	3.88473300e-26	1.17060435e-25	4.22983089e-29	-1.5819169e-26	-9.0883126e-30	
5.99682309e-01	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
6.58073138e-01	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
7.18537039e-01	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
7.81147611e-01	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
8.45981070e-01	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
