nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
         1, 0.000000000E+00, 0.000000000E+00, 1.222713955E+00, 5.859699720E-04, 3.741335277E-02, 2.721569919E-03,-4.494504847E-01,-2.833355748E-03,-1.127637163E-01, 2.151420069E-01
         2, 4.239977228E-03, 5.192474540E-19, 1.220881372E+00, 5.734083291E-04, 3.726545114E-02, 2.719419020E-03,-4.268672461E-01,-4.453454240E-03,-1.138041602E-01, 2.104054362E-01
         3, 8.526594205E-03, 1.044206630E-18, 1.219140254E+00, 5.513029153E-04, 3.708531065E-02, 2.717172492E-03,-4.028157133E-01,-6.222880440E-03,-1.152064022E-01, 2.022926634E-01
         4, 1.286036397E-02, 1.574940357E-18, 1.217410428E+00, 5.198422944E-04, 3.690422256E-02, 2.715037411E-03,-3.895154154E-01,-8.275840120E-03,-1.167835472E-01, 1.908459801E-01
         5, 1.724180520E-02, 2.111512155E-18, 1.215776309E+00, 4.794282596E-04, 3.672205496E-02, 2.713019081E-03,-3.578358209E-01,-1.014553983E-02,-1.183049426E-01, 1.761656515E-01
         6, 2.167144228E-02, 2.653986243E-18, 1.214272872E+00, 4.310593832E-04, 3.653885181E-02, 2.711123497E-03,-3.216178514E-01,-1.160608541E-02,-1.197981181E-01, 1.586379251E-01
         7, 2.614980538E-02, 3.202427545E-18, 1.212922733E+00, 3.768164747E-04, 3.635469695E-02, 2.709352083E-03,-2.817091504E-01,-1.255836431E-02,-1.218675546E-01, 1.388423871E-01
         8, 3.067743046E-02, 3.756901702E-18, 1.211746540E+00, 3.185235957E-04, 3.616970902E-02, 2.707701941E-03,-2.381687091E-01,-1.321047746E-02,-1.233999055E-01, 1.172781807E-01
         9, 3.525485943E-02, 4.317475075E-18, 1.210762716E+00, 2.573133337E-04, 3.598404476E-02, 2.706166910E-03,-1.923332654E-01,-1.345588382E-02,-1.230052331E-01, 9.463074212E-02
        10, 3.988264011E-02, 4.884214755E-18, 1.209980634E+00, 1.958856949E-04, 3.579788916E-02, 2.704738512E-03,-1.461522165E-01,-1.300881000E-02,-1.214137392E-01, 7.197600983E-02
        11, 4.456132638E-02, 5.457188571E-18, 1.209404274E+00, 1.374523006E-04, 3.561143764E-02, 2.703406997E-03,-1.016129338E-01,-1.174678718E-02,-1.192050344E-01, 5.017950951E-02
        12, 4.929147819E-02, 6.036465100E-18, 1.209025446E+00, 8.500660539E-05, 3.542487924E-02, 2.702162567E-03,-5.999149640E-02,-1.048439517E-02,-1.102377299E-01, 2.990587108E-02
        13, 5.407366168E-02, 6.622113670E-18, 1.208821767E+00, 3.617824659E-05, 3.523839622E-02, 2.700997194E-03,-2.186057174E-02,-1.015192596E-02,-8.432904406E-02, 1.150371939E-02
        14, 5.890844919E-02, 7.214204374E-18, 1.208782950E+00,-9.948516249E-06, 3.505219012E-02, 2.699907157E-03, 7.859180503E-03,-8.872408071E-03,-7.106519343E-02,-4.019130523E-03
        15, 6.379641936E-02, 7.812808076E-18, 1.208884521E+00,-4.579759021E-05, 3.486647220E-02, 2.698894519E-03, 3.030012492E-02,-5.897639219E-03,-8.415082996E-02,-1.562377316E-02
        16, 6.873815720E-02, 8.417996419E-18, 1.209083522E+00,-6.854107707E-05, 3.468147125E-02, 2.697969261E-03, 4.787493675E-02,-3.392736788E-03,-9.575303674E-02,-2.382212227E-02
        17, 7.373425415E-02, 9.029841834E-18, 1.209349588E+00,-8.157324663E-05, 3.449748742E-02, 2.697152638E-03, 5.879422592E-02,-1.774249743E-03,-1.001326247E-01,-2.916100582E-02
        18, 7.878530818E-02, 9.648417548E-18, 1.209658350E+00,-8.691073115E-05, 3.431492560E-02, 2.696479567E-03, 6.408298249E-02,-3.127573808E-04,-1.006763626E-01,-3.162918075E-02
        19, 8.389192379E-02, 1.027379759E-17, 1.209982579E+00,-8.482271383E-05, 3.413431801E-02, 2.696000447E-03, 6.367395641E-02, 1.131452720E-03,-9.897660737E-02,-3.130795258E-02
        20, 8.905471218E-02, 1.090605682E-17, 1.210294381E+00,-7.537091959E-05, 3.395634831E-02, 2.695782722E-03, 5.803439559E-02, 2.554066196E-03,-9.458398571E-02,-2.838461124E-02
        21, 9.427429125E-02, 1.154527090E-17, 1.210568982E+00,-5.876731739E-05, 3.378187517E-02, 2.695912016E-03, 4.744874494E-02, 3.908015791E-03,-8.518525815E-02,-2.306094852E-02
        22, 9.955128568E-02, 1.219151634E-17, 1.210784722E+00,-3.625880475E-05, 3.361195450E-02, 2.696492659E-03, 3.290359333E-02, 4.362428018E-03,-6.880775062E-02,-1.569059513E-02
        23, 1.048863270E-01, 1.284487047E-17, 1.210925742E+00,-1.325321289E-05, 3.344785290E-02, 2.697647318E-03, 1.566240541E-02, 3.790803449E-03,-4.455270120E-02,-7.537103629E-03
        24, 1.102800539E-01, 1.350541150E-17, 1.210972893E+00, 3.900585808E-06, 3.329104855E-02, 2.699515584E-03,-8.709534224E-04, 3.048196123E-03,-3.123495903E-02, 4.563927280E-04
        25, 1.157331117E-01, 1.417321848E-17, 1.210913030E+00, 2.058091862E-05, 3.314323480E-02, 2.702252072E-03,-1.777461813E-02, 3.542617856E-03,-4.757787318E-02, 8.784813768E-03
        26, 1.212461531E-01, 1.484837134E-17, 1.210745431E+00, 4.567375560E-05, 3.300632978E-02, 2.706024017E-03,-3.828336124E-02, 5.192583062E-03,-7.704392955E-02, 1.854939844E-02
        27, 1.268198381E-01, 1.553095087E-17, 1.210461556E+00, 7.804534535E-05, 3.288247088E-02, 2.711007458E-03,-6.115110551E-02, 6.185944380E-03,-1.020888004E-01, 2.993052462E-02
        28, 1.324548335E-01, 1.622103879E-17, 1.210047891E+00, 1.133707918E-04, 3.277399217E-02, 2.717382099E-03,-8.558149260E-02, 6.342210831E-03,-1.200312101E-01, 4.208648900E-02
        29, 1.381518139E-01, 1.691871767E-17, 1.209492757E+00, 1.488353758E-04, 3.268340109E-02, 2.725325618E-03,-1.103397907E-01, 6.127387623E-03,-1.310782515E-01, 5.443407321E-02
        30, 1.439114611E-01, 1.762407102E-17, 1.208788225E+00, 1.832480306E-04, 3.261335325E-02, 2.735007487E-03,-1.349613782E-01, 5.875009937E-03,-1.382584333E-01, 6.670750579E-02
        31, 1.497344644E-01, 1.833718325E-17, 1.207930050E+00, 2.170770094E-04, 3.256661939E-02, 2.746582294E-03,-1.597609209E-01, 5.780646774E-03,-1.447343009E-01, 7.899945921E-02
        32, 1.556215207E-01, 1.905813972E-17, 1.206914526E+00, 2.511446946E-04, 3.254604019E-02, 2.760182697E-03,-1.849932288E-01, 5.792712780E-03,-1.518248666E-01, 9.146457211E-02
        33, 1.615733347E-01, 1.978702671E-17, 1.205736493E+00, 2.856968638E-04, 3.255447459E-02, 2.775912532E-03,-2.106060190E-01, 5.812346905E-03,-1.595094211E-01, 1.041247104E-01
