nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
         1, 0.000000000E+00, 0.000000000E+00, 1.226674654E+00, 5.376466006E-04, 3.725671429E-02, 2.692449938E-03,-4.118259708E-01,-3.732981708E-03,-1.185393069E-01, 1.974729073E-01
         2, 4.239977228E-03, 5.192474540E-19, 1.224995856E+00, 5.214971675E-04, 3.711146583E-02, 2.690851208E-03,-3.886033394E-01,-5.281741720E-03,-1.197964185E-01, 1.914334681E-01
         3, 8.526594205E-03, 1.044206630E-18, 1.223416417E+00, 4.959487382E-04, 3.693443232E-02, 2.689270102E-03,-3.628908645E-01,-7.033970640E-03,-1.215317607E-01, 1.820680856E-01
         4, 1.286036397E-02, 1.574940357E-18, 1.221870113E+00, 4.610486775E-04, 3.675645972E-02, 2.687798965E-03,-3.457270801E-01,-9.025130206E-03,-1.232562408E-01, 1.694460838E-01
         5, 1.724180520E-02, 2.111512155E-18, 1.220430790E+00, 4.178490918E-04, 3.657747223E-02, 2.686446467E-03,-3.123973075E-01,-1.059989890E-02,-1.252306561E-01, 1.537966603E-01
         6, 2.167144228E-02, 2.653986243E-18, 1.219131775E+00, 3.681520183E-04, 3.639753835E-02, 2.685219012E-03,-2.749344584E-01,-1.183504471E-02,-1.276151031E-01, 1.355217299E-01
         7, 2.614980538E-02, 3.202427545E-18, 1.217993490E+00, 3.128098614E-04, 3.621676196E-02, 2.684117715E-03,-2.336090094E-01,-1.287929283E-02,-1.285861323E-01, 1.150040510E-01
         8, 3.067743046E-02, 3.756901702E-18, 1.217038127E+00, 2.530687507E-04, 3.603528045E-02, 2.683138571E-03,-1.889431291E-01,-1.340375477E-02,-1.277900049E-01, 9.299136473E-02
         9, 3.525485943E-02, 4.317475075E-18, 1.216279583E+00, 1.921098792E-04, 3.585326103E-02, 2.682273227E-03,-1.431304273E-01,-1.313575672E-02,-1.265640403E-01, 7.055042808E-02
        10, 3.988264011E-02, 4.884214755E-18, 1.215724888E+00, 1.333062405E-04, 3.567087978E-02, 2.681509991E-03,-9.835556199E-02,-1.198544024E-02,-1.238439195E-01, 4.850032614E-02
        11, 4.456132638E-02, 5.457188571E-18, 1.215367502E+00, 7.961292421E-05, 3.548830191E-02, 2.680835179E-03,-5.460052002E-02,-1.110970555E-02,-1.117214068E-01, 2.750017374E-02
        12, 4.929147819E-02, 6.036465100E-18, 1.215193599E+00, 2.719112986E-05, 3.530568402E-02, 2.680234992E-03,-1.506998463E-02,-1.145920530E-02,-8.030014842E-02, 8.078912219E-03
        13, 5.407366168E-02, 6.622113670E-18, 1.215196527E+00,-2.445080684E-05, 3.512319260E-02, 2.679697529E-03, 1.618361480E-02,-9.840274985E-03,-7.414500081E-02,-8.485470986E-03
