nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
         1, 0.000000000E+00, 0.000000000E+00, 1.222672726E+00, 6.026660451E-04, 3.758950355E-02, 2.726967260E-03,-4.624122784E-01,-2.342651566E-03,-1.128156860E-01, 2.212719262E-01
         2, 4.239977228E-03, 5.192474540E-19, 1.220786399E+00, 5.920634462E-04, 3.741545435E-02, 2.724427495E-03,-4.407150074E-01,-3.983840052E-03,-1.138680897E-01, 2.172536619E-01
         3, 8.526594205E-03, 1.044206630E-18, 1.218985316E+00, 5.718337045E-04, 3.722495249E-02, 2.721928889E-03,-4.177883507E-01,-5.798043996E-03,-1.152627618E-01, 2.098238518E-01
         4, 1.286036397E-02, 1.574940357E-18, 1.217186420E+00, 5.421062469E-04, 3.704103364E-02, 2.719610456E-03,-4.061640253E-01,-7.907548778E-03,-1.168451948E-01, 1.989881920E-01
         5, 1.724180520E-02, 2.111512155E-18, 1.215477547E+00, 5.030950497E-04, 3.685728547E-02, 2.717405384E-03,-3.753319755E-01,-9.864833134E-03,-1.183063359E-01, 1.847859072E-01
         6, 2.167144228E-02, 2.653986243E-18, 1.213895344E+00, 4.556480507E-04, 3.667265705E-02, 2.715325976E-03,-3.398135452E-01,-1.151928924E-02,-1.197461994E-01, 1.675613369E-01
         7, 2.614980538E-02, 3.202427545E-18, 1.212463368E+00, 4.012982831E-04, 3.648702314E-02, 2.713384491E-03,-2.997754218E-01,-1.263199497E-02,-1.213772574E-01, 1.478249330E-01
         8, 3.067743046E-02, 3.756901702E-18, 1.211207001E+00, 3.425770441E-04, 3.630044962E-02, 2.711586157E-03,-2.557715517E-01,-1.333395487E-02,-1.236366546E-01, 1.261777000E-01
         9, 3.525485943E-02, 4.317475075E-18, 1.210142679E+00, 2.805420641E-04, 3.611307186E-02, 2.709929528E-03,-2.100173844E-01,-1.372190130E-02,-1.243106266E-01, 1.032997506E-01
        10, 3.988264011E-02, 4.884214755E-18, 1.209280501E+00, 2.173440091E-04, 3.592505684E-02, 2.708407278E-03,-1.626527963E-01,-1.350485518E-02,-1.225089811E-01, 8.001537723E-02
        11, 4.456132638E-02, 5.457188571E-18, 1.208632338E+00, 1.560945071E-04, 3.573659214E-02, 2.707007709E-03,-1.156027894E-01,-1.251407759E-02,-1.208084587E-01, 5.720696500E-02
        12, 4.929147819E-02, 6.036465100E-18, 1.208193233E+00, 9.988639555E-05, 3.554786296E-02, 2.705716069E-03,-7.221825616E-02,-1.113939070E-02,-1.149660168E-01, 3.577887397E-02
        13, 5.407366168E-02, 6.622113670E-18, 1.207939555E+00, 4.853064842E-05, 3.535902728E-02, 2.704516022E-03,-3.138288857E-02,-1.048991289E-02,-9.417742341E-02, 1.619619364E-02
        14, 5.890844919E-02, 7.214204374E-18, 1.207860318E+00, 3.546386759E-07, 3.517023577E-02, 2.703392213E-03, 1.718500266E-03,-9.600848638E-03,-7.542552979E-02,-7.288895351E-04
        15, 6.379641936E-02, 7.812808076E-18, 1.207936806E+00,-3.997563864E-05, 3.498162843E-02, 2.702331927E-03, 2.664561247E-02,-6.979451629E-03,-8.213571341E-02,-1.385026017E-02
        16, 6.873815720E-02, 8.417996419E-18, 1.208125685E+00,-6.756186859E-05, 3.479331626E-02, 2.701326832E-03, 4.684218131E-02,-4.171105413E-03,-9.638160122E-02,-2.335575813E-02
        17, 7.373425415E-02, 9.029841834E-18, 1.208393039E+00,-8.373268249E-05, 3.460542358E-02, 2.700376682E-03, 6.009314845E-02,-2.321568244E-03,-1.019301421E-01,-2.981638361E-02
        18, 7.878530818E-02, 9.648417548E-18, 1.208713539E+00,-9.176400993E-05, 3.441813966E-02, 2.699492922E-03, 6.739579405E-02,-8.143896511E-04,-1.030278505E-01,-3.329279652E-02
        19, 8.389192379E-02, 1.027379759E-17, 1.209059369E+00,-9.213229859E-05, 3.423175000E-02, 2.698701661E-03, 6.873857241E-02, 6.675700596E-04,-1.020350869E-01,-3.384365674E-02
        20, 8.905471218E-02, 1.090605682E-17, 1.209401018E+00,-8.493349645E-05, 3.404666963E-02, 2.698046769E-03, 6.459402239E-02, 2.131085615E-03,-9.911082525E-02,-3.166295799E-02
        21, 9.427429125E-02, 1.154527090E-17, 1.209711806E+00,-7.020348827E-05, 3.386347982E-02, 2.697593117E-03, 5.518743911E-02, 3.594743997E-03,-9.225290983E-02,-2.693196969E-02
        22, 9.955128568E-02, 1.219151634E-17, 1.209967682E+00,-4.845628924E-05, 3.368296894E-02, 2.697429717E-03, 4.144385042E-02, 4.604096782E-03,-7.901889502E-02,-1.992161206E-02
        23, 1.048863270E-01, 1.284487047E-17, 1.210151216E+00,-2.345704331E-05, 3.350617083E-02, 2.697672228E-03, 2.391216722E-02, 4.226020717E-03,-5.636529987E-02,-1.146403823E-02
        24, 1.102800539E-01, 1.350541150E-17, 1.210243747E+00,-3.029261209E-06, 3.333438830E-02, 2.698463816E-03, 5.892188718E-03, 3.417943225E-03,-3.633914705E-02,-2.832911387E-03
        25, 1.157331117E-01, 1.417321848E-17, 1.210226517E+00, 1.396642263E-05, 3.316920299E-02, 2.699974692E-03,-1.115265141E-02, 3.496792468E-03,-4.146894046E-02, 5.599797839E-03
        26, 1.212461531E-01, 1.484837134E-17, 1.210095931E+00, 3.688100360E-05, 3.301248854E-02, 2.702400056E-03,-3.108968703E-02, 4.722685580E-03,-6.778501529E-02, 1.513375488E-02
        27, 1.268198381E-01, 1.553095087E-17, 1.209847665E+00, 6.822812771E-05, 3.286642931E-02, 2.705956999E-03,-5.436920900E-02, 6.169411680E-03,-9.601042235E-02, 2.653556948E-02
        28, 1.324548335E-01, 1.622103879E-17, 1.209467863E+00, 1.045945146E-04, 3.273353103E-02, 2.710882236E-03,-7.960602807E-02, 6.654554077E-03,-1.174666639E-01, 3.911355250E-02
        29, 1.381518139E-01, 1.691871767E-17, 1.208942543E+00, 1.421856052E-04, 3.261653153E-02, 2.717415135E-03,-1.057439005E-01, 6.547214133E-03,-1.312845415E-01, 5.213013535E-02
        30, 1.439114611E-01, 1.762407102E-17, 1.208261065E+00, 1.789691996E-04, 3.251858956E-02, 2.725823537E-03,-1.318410065E-01, 6.274791422E-03,-1.398629237E-01, 6.515114936E-02
        31, 1.497344644E-01, 1.833718325E-17, 1.207417289E+00, 2.149652124E-04, 3.244323350E-02, 2.736398394E-03,-1.580584150E-01, 6.144478674E-03,-1.468830954E-01, 7.817861621E-02
        32, 1.556215207E-01, 1.905813972E-17, 1.206407148E+00, 2.511777797E-04, 3.239267739E-02, 2.749151832E-03,-1.848653170E-01, 6.161561151E-03,-1.545056890E-01, 9.141455777E-02
