nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
         1, 0.000000000E+00, 0.000000000E+00, 1.720682872E+00, 4.525143585E-04, 1.291367001E-02, 7.072047976E-04,-3.374285177E-01, 3.503385329E-03,-7.553824814E-01, 1.610945020E-01
         2, 4.239977228E-03, 5.192474540E-19, 1.719304177E+00, 4.605171048E-04, 1.293867214E-02, 7.080932026E-04,-3.272442535E-01,-8.491454633E-05,-6.672546630E-01, 1.620276082E-01
         3, 8.526594205E-03, 1.044206630E-18, 1.717906349E+00, 4.480577942E-04, 1.296769117E-02, 7.090864927E-04,-3.127143044E-01,-3.919153538E-03,-5.860177252E-01, 1.586476569E-01
         4, 1.286036397E-02, 1.574940357E-18, 1.716524469E+00, 4.329467961E-04, 1.299667501E-02, 7.100631670E-04,-3.163970166E-01,-2.677065289E-03,-5.827150793E-01, 1.557426702E-01
         5, 1.724180520E-02, 2.111512155E-18, 1.715141941E+00, 4.261359272E-04, 1.302627458E-02, 7.110535082E-04,-3.142172045E-01,-9.512780033E-04,-5.845451933E-01, 1.547953128E-01
         6, 2.167144228E-02, 2.653986243E-18, 1.713752017E+00, 4.231232869E-04, 1.305661612E-02, 7.120612268E-04,-3.134319147E-01,-4.284792821E-04,-5.881885967E-01, 1.545284611E-01
         7, 2.614980538E-02, 3.202427545E-18, 1.712346211E+00, 4.216517538E-04, 1.308775881E-02, 7.130865479E-04,-3.140156535E-01,-2.179543178E-04,-5.935350863E-01, 1.544375586E-01
         8, 3.067743046E-02, 3.756901702E-18, 1.710924210E+00, 4.208074067E-04, 1.311974468E-02, 7.141290861E-04,-3.140203412E-01,-1.748014625E-04,-5.987588286E-01, 1.543226146E-01
         9, 3.525485943E-02, 4.317475075E-18, 1.709488439E+00, 4.198102450E-04, 1.315260974E-02, 7.151883808E-04,-3.133450372E-01,-2.643050781E-04,-6.032614362E-01, 1.540025254E-01
        10, 3.988264011E-02, 4.884214755E-18, 1.708041274E+00, 4.182546387E-04, 1.318638623E-02, 7.162640525E-04,-3.121130664E-01,-4.055736976E-04,-6.070662106E-01, 1.533912230E-01
        11, 4.456132638E-02, 5.457188571E-18, 1.706585497E+00, 4.159915143E-04, 1.322110414E-02, 7.173557501E-04,-3.102342954E-01,-5.609596232E-04,-6.101178657E-01, 1.524669837E-01
