nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
         1, 0.000000000E+00, 0.000000000E+00, 1.720695100E+00, 4.523061752E-04, 1.290963686E-02, 7.071809260E-04,-3.372105094E-01, 3.506320096E-03,-7.550150567E-01, 1.610169702E-01
         2, 4.239977228E-03, 5.192474540E-19, 1.719317443E+00, 4.603218919E-04, 1.293457283E-02, 7.080680613E-04,-3.269710857E-01,-8.123566909E-05,-6.668427219E-01, 1.619452466E-01
         3, 8.526594205E-03, 1.044206630E-18, 1.717920731E+00, 4.478695334E-04, 1.296351794E-02, 7.090600599E-04,-3.124934944E-01,-3.919430676E-03,-5.856198978E-01, 1.585578228E-01
         4, 1.286036397E-02, 1.574940357E-18, 1.716539574E+00, 4.327532388E-04, 1.299242972E-02, 7.100354867E-04,-3.162520490E-01,-2.677311839E-03,-5.823953955E-01, 1.556459116E-01
         5, 1.724180520E-02, 2.111512155E-18, 1.715157759E+00, 4.259483430E-04, 1.302195657E-02, 7.110245248E-04,-3.140540505E-01,-9.496450850E-04,-5.842240172E-01, 1.546948293E-01
         6, 2.167144228E-02, 2.653986243E-18, 1.713768582E+00, 4.229411012E-04, 1.305222438E-02, 7.120308693E-04,-3.132595499E-01,-4.274457192E-04,-5.878565886E-01, 1.544249299E-01
         7, 2.614980538E-02, 3.202427545E-18, 1.712363571E+00, 4.214726754E-04, 1.308329234E-02, 7.130547425E-04,-3.138338694E-01,-2.176247278E-04,-5.931901663E-01, 1.543312603E-01
         8, 3.067743046E-02, 3.756901702E-18, 1.710942415E+00, 4.206278919E-04, 1.311520249E-02, 7.140957574E-04,-3.138287292E-01,-1.753110910E-04,-5.984003404E-01, 1.542137251E-01
         9, 3.525485943E-02, 4.317475075E-18, 1.709507543E+00, 4.196269153E-04, 1.314799087E-02, 7.151534521E-04,-3.131444369E-01,-2.653611750E-04,-6.028897662E-01, 1.538913056E-01
        10, 3.988264011E-02, 4.884214755E-18, 1.708061322E+00, 4.180661202E-04, 1.318168976E-02, 7.162274449E-04,-3.119056075E-01,-4.067135061E-04,-6.066831188E-01, 1.532779505E-01
        11, 4.456132638E-02, 5.457188571E-18, 1.706606527E+00, 4.157979968E-04, 1.321632904E-02, 7.173173953E-04,-3.100220294E-01,-5.619574585E-04,-6.097256138E-01, 1.523518434E-01
        12, 4.929147819E-02, 6.036465100E-18, 1.705146210E+00, 4.127811590E-04, 1.325194112E-02, 7.184227803E-04,-3.074941881E-01,-7.106701522E-04,-6.119841593E-01, 1.511219797E-01
        13, 5.407366168E-02, 6.622113670E-18, 1.703683180E+00, 4.090903048E-04, 1.328855847E-02, 7.195430211E-04,-3.044428573E-01,-8.273130571E-04,-6.135271171E-01, 1.496361650E-01
        14, 5.890844919E-02, 7.214204374E-18, 1.702219592E+00, 4.049201928E-04, 1.332620666E-02, 7.206778376E-04,-3.010630346E-01,-8.916418037E-04,-6.145093816E-01, 1.479874210E-01
        15, 6.379641936E-02, 7.812808076E-18, 1.700756562E+00, 4.005425542E-04, 1.336490354E-02, 7.218273348E-04,-2.976150746E-01,-8.941245237E-04,-6.151687149E-01, 1.463058493E-01
        16, 6.873815720E-02, 8.417996419E-18, 1.699293866E+00, 3.962668965E-04, 1.340466047E-02, 7.229920098E-04,-2.943945958E-01,-8.309814925E-04,-6.158068582E-01, 1.447365116E-01
        17, 7.373425415E-02, 9.029841834E-18, 1.697829857E+00, 3.924221498E-04, 1.344548414E-02, 7.241727314E-04,-2.916735559E-01,-7.031367345E-04,-6.167396981E-01, 1.434079930E-01
        18, 7.878530818E-02, 9.648417548E-18, 1.696361675E+00, 3.893185082E-04, 1.348737822E-02, 7.253707033E-04,-2.896417817E-01,-5.230041897E-04,-6.182367999E-01, 1.424065867E-01
        19, 8.389192379E-02, 1.027379759E-17, 1.694885697E+00, 3.871755395E-04, 1.353034492E-02, 7.265874169E-04,-2.883758645E-01,-3.173000747E-04,-6.204721826E-01, 1.417686636E-01
        20, 8.905471218E-02, 1.090605682E-17, 1.693398077E+00, 3.860609605E-04, 1.357438632E-02, 7.278246003E-04,-2.878450881E-01,-1.191060143E-04,-6.235041880E-01, 1.414852418E-01
        21, 9.427429125E-02, 1.154527090E-17, 1.691895206E+00, 3.858847483E-04, 1.361950554E-02, 7.290841696E-04,-2.879408006E-01, 4.531798172E-05,-6.272854889E-01, 1.415100516E-01
