Position,AxialVelocity
6.0,-0.00174516
5.91189,-0.00176629
5.68192,-0.00182528
5.46087,-0.00188661
5.24838,-0.00195046
5.04412,-0.00201738
4.84778,-0.00208767
4.65904,-0.00216166
4.47762,-0.0022396
4.30322,-0.00232169
4.13558,-0.00240811
3.97444,-0.00249903
3.81954,-0.00259461
3.67064,-0.00269478
3.58245,-0.00275887
3.52751,-0.0027988
3.38993,-0.00290339
3.25768,-0.00299989
3.13055,-0.00307197
3.00835,-0.00309927
2.89088,-0.00306793
2.77796,-0.00297892
2.66942,-0.00284202
2.56508,-0.0026663
2.46479,-0.00245989
2.36838,-0.00223002
2.27571,-0.00198268
2.18663,-0.001723
2.101,-0.00145543
2.01868,-0.0011839
1.93956,-0.000911851
1.8635,-0.000642301
1.79039,-0.000377891
1.72011,-0.000120899
1.65256,0.000126736
1.58762,0.000363396
1.5252,0.000587762
1.46519,0.000798797
1.40751,0.000995723
1.35207,0.001178
1.29877,0.0013453
1.24754,0.00149749
1.1983,0.00163463
1.15096,0.0017569
1.10545,0.00186463
1.06171,0.00195827
1.01967,0.00203834
0.97925,0.00210545
0.940399,0.00216027
0.903053,0.00220348
0.867155,0.00223587
0.832647,0.00225817
0.799476,0.00227106
0.76759,0.00227537
0.73694,0.00227185
0.707477,0.00226121
0.679155,0.00224416
0.651931,0.00222136
0.625762,0.00219347
0.600607,0.00216109
0.576426,0.00212479
0.553183,0.00208513
0.53084,0.00204259
0.509362,0.00199763
0.488717,0.0019507
0.468871,0.00190216
0.449795,0.00185239
0.431457,0.00180171
0.41383,0.0017504
0.396886,0.00169873
0.380599,0.00164694
0.364942,0.00159522
0.349893,0.00154376
0.335426,0.00149273
0.32152,0.00144226
0.308152,0.00139246
0.295303,0.00134345
0.282951,0.00129532
0.271078,0.00124812
0.259665,0.00120193
0.248694,0.00115679
0.238148,0.00111274
0.228011,0.00106981
0.218266,0.00102801
0.2089,0.000987369
0.199896,0.000947881
0.19124,0.00090955
0.182921,0.000872375
0.174923,0.000836346
0.167236,0.000801452
0.159846,0.000767678
0.152743,0.000735007
0.145914,0.00070342
0.139351,0.000672895
0.133041,0.00064341
0.126976,0.00061494
0.121147,0.000587464
0.115543,0.000560949
0.110156,0.000535396
0.104978,0.000510739
0.1,0.000486937
0.0967277,0.000471283
0.0927105,0.000452028
0.0877722,0.00042828
0.0816933,0.000398986
0.0741997,0.000362742
0.0649491,0.000317892
0.053513,0.000262189
0.0393543,0.000194303
0.021799,0.000109566
1.22465e-15,5.55322e-05
