Position,AxialVelocity
6.4,-0.00158386
6.15112,-0.00164031
5.91189,-0.00169962
5.68192,-0.0017617
5.46087,-0.0018266
5.24838,-0.00189446
5.04412,-0.00196536
4.84778,-0.00203945
4.65904,-0.00211682
4.47762,-0.00219759
4.30322,-0.0022818
4.13558,-0.00236938
3.97444,-0.00245981
3.81954,-0.00255167
3.67064,-0.00264054
3.52751,-0.00271822
3.38993,-0.00277044
3.25768,-0.00278109
3.13055,-0.00274112
3.00835,-0.00265167
2.89088,-0.00252034
2.77796,-0.00235499
2.66942,-0.00216283
2.56508,-0.00195033
2.46479,-0.00172289
2.36838,-0.00148515
2.27571,-0.00124112
2.18663,-0.000994316
2.101,-0.00074781
2.01868,-0.000504287
1.93956,-0.000266073
1.8635,-3.5163e-05
1.79039,0.000186758
1.72011,0.000398298
1.65256,0.000598336
1.58762,0.000786001
1.5252,0.000960658
1.46519,0.00112188
1.40751,0.00126943
1.35207,0.00140325
1.29877,0.00152342
1.24754,0.00163018
1.1983,0.00172385
1.15096,0.00180486
1.10545,0.00187372
1.06171,0.00193101
1.01967,0.00197734
0.97925,0.00201337
0.940399,0.00203979
0.903053,0.00205727
0.867155,0.00206645
0.832647,0.00206807
0.799476,0.00206281
0.76759,0.0020513
0.73694,0.00203418
0.707477,0.00201205
0.679155,0.00198548
0.651931,0.00195502
0.625762,0.00192118
0.600607,0.00188443
0.576426,0.00184521
0.553183,0.00180394
0.53084,0.00176099
0.509362,0.00171671
0.488717,0.00167139
0.468871,0.00162534
0.449795,0.0015788
0.431457,0.001532
0.41383,0.00148515
0.396886,0.00143843
0.380599,0.00139198
0.364942,0.00134596
0.349893,0.00130049
0.335426,0.00125566
0.32152,0.00121156
0.308152,0.00116827
0.295303,0.00112586
0.282951,0.00108436
0.271078,0.00104383
0.259665,0.00100429
0.248694,0.000965763
0.238148,0.00092827
0.228011,0.000891819
0.218266,0.000856415
0.2089,0.000822058
0.199896,0.000788741
0.19124,0.000756458
0.182921,0.000725197
0.174923,0.000694944
0.167236,0.000665683
0.159846,0.000637396
0.152743,0.000610063
0.145914,0.000583663
0.139351,0.000558175
0.133041,0.000533576
0.126977,0.000509843
0.121147,0.000486954
0.115543,0.000464881
0.110156,0.000443615
0.104978,0.000423111
0.1,0.000403339
0.0964305,0.000389149
0.0921048,0.000371921
0.0868581,0.00035097
0.0804885,0.00032549
0.0727482,0.000294427
0.0633331,0.000256574
0.0518685,0.000210302
0.0378932,0.000154796
0.0208381,8.66387e-05
1.34711e-15,4.38978e-05
