Position,AxialVelocity
6.4,0.000309666
6.15112,0.000322344
5.91189,0.000335855
5.68192,0.000350698
5.46087,0.000368098
5.24838,0.00039091
5.04412,0.00042604
4.84778,0.000488522
4.65904,0.000606709
4.47762,0.000820576
4.30322,0.00116936
4.13558,0.00167682
3.97444,0.00234637
3.81954,0.00316891
3.67064,0.00413133
3.52751,0.00522029
3.38993,0.0064234
3.25768,0.00772916
3.13055,0.00912671
3.00835,0.0106056
2.89088,0.0121557
2.77796,0.013767
2.66942,0.0154299
2.56508,0.0171348
2.46479,0.0188724
2.36838,0.0206338
2.27571,0.0224104
2.18663,0.024194
2.101,0.0259766
2.01868,0.0277512
1.93956,0.0295108
1.8635,0.0312492
1.79039,0.0329606
1.72011,0.03464
1.65256,0.0362827
1.58762,0.0378847
1.5252,0.0394426
1.46519,0.0409534
1.40751,0.0424146
1.35207,0.0438245
1.29877,0.0451815
1.24754,0.0464846
1.1983,0.0477332
1.15096,0.048927
1.10545,0.0500663
1.06171,0.0511513
1.01967,0.0521827
0.97925,0.0531615
0.940399,0.0540888
0.903053,0.0549658
0.867155,0.0557941
0.832647,0.0565752
0.799476,0.0573108
0.76759,0.0580025
0.73694,0.0586523
0.707477,0.0592619
0.679155,0.0598331
0.651931,0.0603678
0.625762,0.0608678
0.600607,0.0613349
0.576426,0.0617709
0.553183,0.0621774
0.53084,0.0625562
0.509362,0.0629088
0.488717,0.0632369
0.468871,0.063542
0.449795,0.0638254
0.431457,0.0640885
0.41383,0.0643327
0.396886,0.0645592
0.380599,0.0647691
0.364942,0.0649636
0.349893,0.0651438
0.335426,0.0653105
0.32152,0.0654647
0.308152,0.0656074
0.295303,0.0657392
0.282951,0.0658611
0.271078,0.0659736
0.259665,0.0660775
0.248694,0.0661734
0.238148,0.066262
0.228011,0.0663436
0.218266,0.0664189
0.2089,0.0664882
0.199896,0.0665522
0.19124,0.0666111
0.182921,0.0666653
0.174923,0.0667152
0.167236,0.0667612
0.159846,0.0668034
0.152743,0.0668423
0.145914,0.066878
0.139351,0.0669108
0.133041,0.066941
0.126976,0.0669687
0.121147,0.0669941
0.115543,0.0670175
0.110156,0.0670388
0.104978,0.0670585
0.1,0.0670764
0.0965626,0.0670883
0.092374,0.0671023
0.0872644,0.0671185
0.0810239,0.067137
0.0733933,0.0671578
0.0640513,0.0671805
0.0525994,0.0672042
0.0385426,0.0672269
0.0212651,0.0672452
2e-15,0.0672529
