Position,AxialVelocity
0.0,1.23033
0.0200446,1.22143
0.0407496,1.21576
0.0647669,1.21264
0.0930742,1.21068
0.126991,1.20744
0.168022,1.20023
0.217937,1.18551
0.278903,1.15867
0.352745,1.11548
0.436501,1.05712
0.525453,0.990574
0.61909,0.921617
0.717319,0.854563
0.818182,0.792879
0.919481,0.738187
1.02078,0.690068
1.12208,0.647637
1.22338,0.610049
1.32468,0.576569
1.42597,0.546583
1.52727,0.519582
1.62857,0.495145
1.72987,0.472925
1.83117,0.452632
1.93247,0.434025
2.03377,0.416899
2.13506,0.401083
2.23636,0.38643
2.33766,0.372814
2.43896,0.360128
2.54026,0.348279
2.64156,0.337184
2.74286,0.326773
2.84416,0.316984
2.94545,0.307762
3.04675,0.299059
3.14805,0.290831
3.24935,0.283041
3.35065,0.275653
3.45195,0.268637
3.55325,0.261966
3.65455,0.255614
3.75584,0.249559
3.85714,0.24378
3.95844,0.238259
4.05974,0.23298
4.16104,0.227925
4.26234,0.223082
4.36364,0.218437
4.46494,0.213978
4.56623,0.209694
4.66753,0.205576
4.76883,0.201613
4.87013,0.197798
4.97143,0.194122
5.07273,0.190577
5.17403,0.187157
5.27532,0.183855
5.37662,0.180665
5.47792,0.177582
5.57922,0.1746
5.68052,0.171715
5.78182,0.168922
5.88312,0.166216
5.98442,0.163594
6.08571,0.161052
6.18701,0.158586
6.28831,0.156192
6.38961,0.153869
6.49091,0.151612
6.59221,0.149419
6.69351,0.147287
6.79481,0.145215
6.8961,0.143198
6.9974,0.141236
7.0987,0.139325
7.2,0.137465
7.3013,0.135652
7.4026,0.133886
7.5039,0.132164
7.60519,0.130485
7.70649,0.128847
7.80779,0.12725
7.90909,0.12569
8.01039,0.124168
8.11169,0.122681
8.21299,0.121228
8.31429,0.119809
8.41558,0.118423
8.51688,0.117067
8.61818,0.115741
8.71948,0.114445
8.82078,0.113177
8.92208,0.111936
9.02338,0.110721
9.12468,0.109532
9.22597,0.108368
9.32727,0.107228
9.42857,0.106111
9.52987,0.105016
9.63117,0.103944
9.73247,0.102893
9.83377,0.101863
9.93507,0.100852
10.0364,0.0998614
10.1377,0.0988894
10.239,0.0979359
10.3403,0.0970003
10.4416,0.096082
10.5429,0.0951807
10.6442,0.0942958
10.7455,0.093427
10.8468,0.0925737
10.9481,0.0917356
11.0494,0.0909123
11.1506,0.0901034
11.2519,0.0893086
11.3532,0.0885274
11.4545,0.0877595
11.5558,0.0870046
11.6571,0.0862623
11.7584,0.0855325
11.8597,0.0848146
11.961,0.0841085
12.0623,0.0834139
12.1636,0.0827305
12.2649,0.082058
12.3662,0.0813962
12.4675,0.0807448
12.5688,0.0801036
12.6701,0.0794723
12.7714,0.0788507
12.8727,0.0782387
12.974,0.0776359
13.0753,0.0770422
13.1766,0.0764573
13.2779,0.0758812
13.3792,0.0753135
13.4805,0.0747541
13.5818,0.0742029
13.6831,0.0736597
13.7844,0.0731241
13.8857,0.0725963
13.987,0.0720758
14.0883,0.0715627
14.1896,0.0710567
14.2909,0.0705578
14.3922,0.0700655
14.4935,0.0695804
14.5948,0.0691012
14.6961,0.0686291
14.7974,0.0681623
14.8987,0.0677033
15.0,0.0672529
