Position,Velocity
9.79717e-16,8.31865e-05
0.0213719,0.000164079
0.0387049,0.000291723
0.0527821,0.000394537
0.0642309,0.000479336
0.0735546,0.000547938
0.0811578,0.000603645
0.0873659,0.000648887
0.0924413,0.000685739
0.0965956,0.00071577
0.1,0.000740299
0.104978,0.000776087
0.110156,0.000813115
0.115543,0.000851427
0.121147,0.000891099
0.126976,0.000932127
0.133041,0.000974541
0.139351,0.00101836
0.145914,0.0010636
0.152743,0.00111027
0.159846,0.00115839
0.167236,0.00120796
0.174923,0.00125897
0.182921,0.00131142
0.19124,0.00136528
0.199896,0.00142053
0.2089,0.00147713
0.218266,0.00153503
0.228011,0.00159417
0.238148,0.00165446
0.248694,0.00171581
0.259665,0.00177812
0.271078,0.00184123
0.282951,0.00190501
0.295303,0.00196925
0.308152,0.00203377
0.32152,0.00209832
0.335426,0.00216263
0.349893,0.0022264
0.364942,0.0022893
0.380599,0.00235095
0.396886,0.00241093
0.41383,0.0024688
0.431457,0.00252404
0.449795,0.00257612
0.468871,0.00262444
0.488717,0.00266837
0.509362,0.00270723
0.53084,0.00274028
0.553183,0.00276676
0.576426,0.00278586
0.600607,0.00279674
0.625762,0.00279849
0.651932,0.00279026
0.679155,0.0027711
0.707477,0.00273999
0.73694,0.00269609
0.76759,0.00263849
0.799476,0.00256626
0.832647,0.00247856
0.867155,0.00237459
0.903053,0.00225364
0.940399,0.0021151
0.97925,0.00195848
1.01967,0.00178344
1.06171,0.00158979
1.10545,0.00137757
1.15096,0.00114703
1.1983,0.000898649
1.24754,0.000633208
1.29877,0.000351781
1.35207,5.57623e-05
1.40751,-0.000253096
1.46519,-0.000572669
1.5252,-0.000900431
1.58762,-0.00123344
1.65256,-0.00156829
1.72011,-0.0019011
1.79039,-0.00222747
1.8635,-0.00254239
1.93956,-0.00284014
2.01868,-0.00311412
2.101,-0.00335651
2.18663,-0.00355819
2.27571,-0.00370848
2.36838,-0.00379552
2.46479,-0.00381015
2.56508,-0.00375558
2.66942,-0.00365388
2.77796,-0.00353015
2.89088,-0.00340044
3.00835,-0.0032736
3.13055,-0.00315205
3.25768,-0.00303638
3.38993,-0.00292651
3.52751,-0.00282225
3.67064,-0.00272337
3.81954,-0.00262963
3.97444,-0.00254073
4.01311,-0.00252047
4.13558,-0.00245631
4.30322,-0.00237591
4.47762,-0.00229901
4.65904,-0.0022251
4.84778,-0.00215368
5.04412,-0.00208439
5.24838,-0.00201694
5.46087,-0.00195124
5.68192,-0.00188709
5.91189,-0.00182463
6.0,-0.00180209
