Position,Velocity
7.34788e-16,0.163949
0.0209448,0.163843
0.0380555,0.163582
0.0520512,0.163257
0.0635126,0.162917
0.0729095,0.162589
0.0806223,0.162287
0.0869596,0.162017
0.0921721,0.16178
0.0964635,0.161575
0.1,0.1614
0.104978,0.161143
0.110156,0.160864
0.115543,0.160559
0.121147,0.160229
0.126977,0.159869
0.133041,0.159479
0.139351,0.159056
0.145914,0.158597
0.152743,0.158099
0.159846,0.157561
0.167236,0.156978
0.174923,0.156348
0.182921,0.155667
0.19124,0.154932
0.199896,0.15414
0.2089,0.153286
0.218266,0.152366
0.228011,0.151377
0.238148,0.150314
0.248694,0.149173
0.259665,0.147949
0.271078,0.146638
0.282951,0.145236
0.295303,0.143737
0.308152,0.142137
0.32152,0.140432
0.335426,0.138618
0.349893,0.136689
0.364942,0.134642
0.380599,0.132474
0.396886,0.13018
0.41383,0.127758
0.431457,0.125205
0.449795,0.122519
0.468871,0.119699
0.488717,0.116744
0.509362,0.113654
0.53084,0.11043
0.553183,0.107074
0.576426,0.103589
0.578195,0.103325
0.600607,0.0999784
0.625762,0.0962481
0.651931,0.0924041
0.679155,0.0884541
0.707477,0.084407
0.73694,0.0802731
0.76759,0.0760639
0.799476,0.0717922
0.832647,0.0674724
0.867155,0.0631199
0.903053,0.0587513
0.940399,0.0543846
0.97925,0.0500384
1.01967,0.0457326
1.06171,0.0414877
1.10545,0.0373249
1.15096,0.0332659
1.1983,0.029333
1.24754,0.0255484
1.29877,0.0219347
1.35207,0.0185147
1.40751,0.0153112
1.46519,0.0123476
1.5252,0.00964832
1.58762,0.00723946
1.65256,0.00515026
1.72011,0.00341412
1.79039,0.00206604
1.8635,0.00112815
1.93956,0.000574801
2.01868,0.00031033
2.101,0.000205963
2.18663,0.000164264
2.27571,0.000139165
2.36838,0.000115196
2.46479,8.89209e-05
2.56508,6.00827e-05
2.66942,2.90851e-05
2.77796,-3.55273e-06
2.89088,-3.72335e-05
3.00835,-7.12488e-05
3.13055,-0.00010476
3.25768,-0.000136827
3.38993,-0.000166506
3.52751,-0.000193
3.67064,-0.000215809
3.81954,-0.000234778
3.97444,-0.000250041
4.13558,-0.00026187
4.30033,-0.000270419
4.30322,-0.000270568
4.47762,-0.000276409
4.65904,-0.000279645
4.84778,-0.0002805
5.04412,-0.000279184
5.24838,-0.000275897
5.46087,-0.000270828
5.68192,-0.000264163
5.91189,-0.00025607
6.0,-0.000252634
