Position,AxialVelocity
1.59204e-15,3.06e-05
0.02008,6.04213e-05
0.0367405,0.000108662
0.0505711,0.000148484
0.0620582,0.000182108
0.0716032,0.000209964
0.079538,0.000233098
0.0861369,0.00025229
0.0916269,0.000268236
0.0961961,0.000281482
0.1,0.000292494
0.104978,0.000306894
0.110156,0.000321841
0.115543,0.000337358
0.121147,0.000353473
0.126977,0.0003702
0.133041,0.00038756
0.139351,0.000405572
0.145914,0.000424257
0.152743,0.000443634
0.159846,0.000463723
0.167236,0.000484545
0.174923,0.000506119
0.182921,0.000528464
0.19124,0.000551599
0.199896,0.00057554
0.2089,0.000600305
0.218266,0.000625909
0.228011,0.000652365
0.238148,0.000679687
0.248694,0.000707882
0.259665,0.000736959
0.271078,0.000766921
0.282951,0.00079777
0.295303,0.0008295
0.308152,0.000862106
0.32152,0.000895573
0.335426,0.000929882
0.349893,0.000965007
0.364942,0.00100091
0.380599,0.00103756
0.396886,0.0010749
0.41383,0.00111286
0.431457,0.00115138
0.449795,0.00119036
0.468871,0.00122971
0.488717,0.0012693
0.509362,0.00130902
0.53084,0.0013487
0.553183,0.00138817
0.576426,0.00142725
0.600607,0.00146572
0.625762,0.00150335
0.651931,0.00153986
0.679155,0.00157497
0.707477,0.00160836
0.73694,0.00163969
0.76759,0.00166859
0.799476,0.00169466
0.832647,0.00171746
0.867155,0.00173654
0.903053,0.0017514
0.940399,0.00176154
0.97925,0.00176642
1.01967,0.00176551
1.06171,0.00175822
1.10545,0.00174391
1.15096,0.00172207
1.1983,0.00169211
1.24754,0.00165343
1.29877,0.00160547
1.35207,0.00154769
1.40751,0.00147961
1.46519,0.00140079
1.5252,0.00131084
1.58762,0.00120947
1.65256,0.00109647
1.72011,0.000971759
1.79039,0.000835365
1.8635,0.000687471
1.93956,0.000528418
2.01868,0.000358727
2.101,0.000179116
2.18663,-9.4884e-06
2.27571,-0.000205928
2.36838,-0.0004088
2.46479,-0.000616443
2.56508,-0.000826917
2.66942,-0.00103799
2.77796,-0.00124711
2.89088,-0.00145138
3.00835,-0.00164751
3.13055,-0.00183171
3.25768,-0.00199962
3.38993,-0.00214611
3.52751,-0.00226496
3.67064,-0.00234946
3.81954,-0.00239254
3.97444,-0.00238916
4.13558,-0.00234455
4.30322,-0.00227477
4.47762,-0.00219438
4.65904,-0.00211204
4.84778,-0.00203226
5.04412,-0.00195599
5.24838,-0.00188353
5.46087,-0.00181469
5.68192,-0.00174947
5.91189,-0.00168752
6.15112,-0.00162912
6.4,-0.00157416
