Position,AxialVelocity
2e-15,0.0670703
0.0201441,0.0670633
0.0368379,0.0670465
0.0506808,0.0670251
0.0621659,0.0670023
0.0717,0.0669798
0.0796183,0.0669588
0.0861979,0.0669396
0.0916673,0.0669225
0.0962159,0.0669075
0.1,0.0668944
0.104978,0.0668765
0.110156,0.066857
0.115543,0.0668357
0.121147,0.0668125
0.126977,0.0667871
0.133041,0.0667595
0.139351,0.0667295
0.145914,0.0666968
0.152743,0.0666612
0.159846,0.0666225
0.167236,0.0665804
0.174923,0.0665346
0.182921,0.0664848
0.19124,0.0664308
0.199896,0.0663721
0.2089,0.0663084
0.218266,0.0662393
0.228011,0.0661643
0.238148,0.066083
0.248694,0.0659948
0.259665,0.0658992
0.271078,0.0657957
0.282951,0.0656836
0.295303,0.0655622
0.308152,0.0654308
0.32152,0.0652887
0.335426,0.065135
0.349892,0.0649689
0.364942,0.0647895
0.380599,0.0645957
0.396886,0.0643865
0.41383,0.0641609
0.431457,0.0639175
0.449795,0.0636554
0.468871,0.063373
0.488717,0.063069
0.509362,0.0627421
0.53084,0.0623907
0.553183,0.0620133
0.576426,0.0616083
0.600607,0.0611739
0.625762,0.0607085
0.651932,0.0602102
0.679155,0.0596774
0.707477,0.0591082
0.73694,0.0585008
0.76759,0.0578533
0.799476,0.057164
0.832647,0.0564309
0.867155,0.0556524
0.903053,0.0548269
0.940399,0.0539527
0.97925,0.0530284
1.01967,0.0520528
1.06171,0.0510246
1.10545,0.0499429
1.15096,0.0488071
1.1983,0.0476168
1.24754,0.0463718
1.29877,0.0450725
1.35207,0.0437192
1.40751,0.0423132
1.46519,0.0408558
1.5252,0.0393489
1.58762,0.0377949
1.65256,0.0361967
1.72011,0.0345578
1.79039,0.0328821
1.8635,0.0311742
1.93956,0.0294392
2.01868,0.0276828
2.101,0.0259112
2.18663,0.0241312
2.27571,0.0223499
2.36838,0.0205751
2.46479,0.018815
2.56508,0.017078
2.66942,0.0153729
2.77796,0.0137089
2.89088,0.0120953
3.00835,0.0105414
3.13055,0.00905679
3.25768,0.00765121
3.38993,0.00633435
3.52751,0.00511618
3.67064,0.00400704
3.81954,0.00301795
3.97444,0.00216112
4.13558,0.00145017
4.30322,0.00089942
4.47762,0.000517635
4.65904,0.000293383
4.84778,0.000187269
5.04412,0.000146289
5.24838,0.000130286
5.46087,0.000120775
5.68192,0.000111513
5.91189,0.000101287
6.15112,8.99612e-05
6.4,7.77793e-05
