Position,AxialVelocity
0.0,1.23062
0.0196512,1.22196
0.0403045,1.21635
0.0645308,1.21319
0.0931781,1.2112
0.127202,1.20793
0.168182,1.20073
0.218189,1.18608
0.278955,1.15966
0.349877,1.11885
0.429517,1.06407
0.518252,0.998049
0.615584,0.926396
0.716883,0.857123
0.818182,0.79501
0.919481,0.740156
1.02078,0.691885
1.12208,0.649312
1.22338,0.611593
1.32468,0.577993
1.42597,0.547897
1.52727,0.520794
1.62857,0.496265
1.72987,0.473961
1.83117,0.453591
1.93247,0.434914
2.03377,0.417724
2.13506,0.401849
2.23636,0.387141
2.33766,0.373476
2.43896,0.360744
2.54026,0.348853
2.64156,0.337719
2.74286,0.327272
2.84416,0.31745
2.94545,0.308197
3.04675,0.299465
3.14805,0.29121
3.24935,0.283394
3.35065,0.275983
3.45195,0.268945
3.55325,0.262253
3.65455,0.255882
3.75584,0.249809
3.85714,0.244014
3.95844,0.238477
4.05974,0.233182
4.16104,0.228113
4.26234,0.223256
4.36364,0.218599
4.46494,0.214128
4.56623,0.209833
4.66753,0.205704
4.76883,0.201731
4.87013,0.197905
4.97143,0.194219
5.07273,0.190666
5.17403,0.187237
5.27532,0.183927
5.37662,0.18073
5.47792,0.177639
5.57922,0.174651
5.68052,0.171759
5.78182,0.168959
5.88312,0.166247
5.98442,0.163619
6.08571,0.161071
6.18701,0.1586
6.28831,0.156201
6.38961,0.153873
6.49091,0.151611
6.59221,0.149413
6.69351,0.147277
6.79481,0.1452
6.8961,0.143179
6.9974,0.141213
7.0987,0.139299
7.2,0.137434
7.3013,0.135618
7.4026,0.133849
7.5039,0.132123
7.60519,0.130441
7.70649,0.128801
7.80779,0.1272
7.90909,0.125637
8.01039,0.124112
8.11169,0.122622
8.21299,0.121168
8.31429,0.119746
8.41558,0.118357
8.51688,0.116999
8.61818,0.115671
8.71948,0.114372
8.82078,0.113102
8.92208,0.111859
9.02338,0.110642
9.12468,0.109451
9.22597,0.108285
9.32727,0.107143
9.42857,0.106024
9.52987,0.104928
9.63117,0.103854
9.73247,0.102801
9.83377,0.101769
9.93507,0.100757
10.0364,0.099765
10.1377,0.0987916
10.239,0.0978367
10.3403,0.0968997
10.4416,0.0959801
10.5429,0.0950774
10.6442,0.0941913
10.7455,0.0933212
10.8468,0.0924667
10.9481,0.0916275
11.0494,0.0908031
11.1506,0.089993
11.2519,0.0891971
11.3532,0.0884148
11.4545,0.0876459
11.5558,0.08689
11.6571,0.0861468
11.7584,0.085416
11.8597,0.0846972
11.961,0.0839902
12.0623,0.0832947
12.1636,0.0826104
12.2649,0.0819371
12.3662,0.0812745
12.4675,0.0806223
12.5688,0.0799803
12.6701,0.0793482
12.7714,0.0787259
12.8727,0.0781131
12.974,0.0775096
13.0753,0.0769152
13.1766,0.0763297
13.2779,0.0757529
13.3792,0.0751845
13.4805,0.0746246
13.5818,0.0740727
13.6831,0.0735288
13.7844,0.0729927
13.8857,0.0724643
13.987,0.0719433
14.0883,0.0714296
14.1896,0.0709231
14.2909,0.0704237
14.3922,0.069931
14.4935,0.0694453
14.5948,0.0689658
14.6961,0.0684932
14.7974,0.0680264
14.8987,0.0675665
15.0,0.0671138
