Position,AxialVelocity
0.0,3.78007e-05
0.0123008,7.47925e-05
0.0241631,0.000144432
0.0352177,0.000208838
0.0461673,0.000273461
0.0560144,0.000331314
0.0657334,0.000388231
0.0749243,0.000441757
0.0836506,0.000492353
0.0915082,0.000537481
0.0987787,0.000579011
0.115463,0.000674095
0.129153,0.000750758
0.142675,0.000825244
0.156044,0.000898
0.169305,0.000968958
0.183055,0.00104123
0.197489,0.00111555
0.212058,0.00118887
0.2272,0.00126318
0.24265,0.0013369
0.258466,0.00141008
0.274648,0.00148245
0.29121,0.00155381
0.30815,0.00162387
0.325478,0.00169238
0.343202,0.00175908
0.361337,0.00182373
0.379356,0.00188426
0.398337,0.001944
0.417747,0.00200079
0.437612,0.00205436
0.45794,0.00210441
0.478723,0.00215059
0.499351,0.00219141
0.521085,0.00222905
0.543324,0.00226195
0.566051,0.00228978
0.588617,0.00231164
0.61237,0.00232858
0.636668,0.00233963
0.66079,0.00234442
0.686191,0.002343
0.712151,0.00233496
0.737901,0.00232054
0.764995,0.00229871
0.792702,0.00226966
0.821029,0.00223324
0.849127,0.00219065
0.878697,0.00213926
0.887877,0.00212132
0.908021,0.00208205
0.938855,0.00201553
0.970344,0.00194133
1.00252,0.00185943
1.03544,0.00176974
1.06904,0.00167255
1.10334,0.00156796
1.13838,0.00145611
1.17413,0.00133727
1.21065,0.00121162
1.24791,0.00107952
1.28485,0.000945229
1.32368,0.000801077
1.36332,0.000651495
1.40379,0.0004968
1.44512,0.000337438
1.48729,0.00017402
1.53032,7.09233e-06
1.57421,-0.00016278
1.61902,-0.000335122
1.62602,-0.000361819
1.66473,-0.000509224
1.70998,-0.000679356
1.75754,-0.000855199
1.80608,-0.00103078
1.85564,-0.00120547
1.90619,-0.00137835
1.95777,-0.00154869
2.01048,-0.00171592
2.06426,-0.00187893
2.11916,-0.00203683
2.17523,-0.00218881
2.23248,-0.00233381
2.29096,-0.00247081
2.31784,-0.00252838
2.35073,-0.00259882
2.41004,-0.00271338
2.47245,-0.00281979
2.53638,-0.00291277
2.60174,-0.0029901
2.66867,-0.00304924
2.73724,-0.0030867
2.80756,-0.00309882
2.87762,-0.00308548
2.95263,-0.00304894
3.02861,-0.00298247
3.10684,-0.00291214
3.1849,-0.00285464
3.2563,-0.00279964
3.26768,-0.00279094
3.35307,-0.00272987
3.44122,-0.00266962
3.53227,-0.00261063
3.62353,-0.00255403
3.72074,-0.00249639
3.81852,-0.00244075
3.92288,-0.00238391
4.02808,-0.00232823
4.13905,-0.00227217
4.25603,-0.00221183
4.4,-0.00217206
