Position,AxialVelocity
0.0,0.277358
0.0144736,0.271645
0.0280603,0.263314
0.0406725,0.258934
0.052517,0.256212
0.0633545,0.254169
0.0734879,0.252358
0.0828474,0.250655
0.0914919,0.249025
0.0993422,0.24746
0.106519,0.24589
0.116116,0.243901
0.121139,0.24269
0.126271,0.241492
0.131403,0.240241
0.136574,0.238932
0.14194,0.237533
0.147585,0.236027
0.153338,0.234437
0.159358,0.23274
0.165521,0.230954
0.171885,0.22907
0.178442,0.227086
0.185216,0.224998
0.192178,0.222811
0.199334,0.220523
0.206692,0.218132
0.214286,0.215632
0.221966,0.213055
0.23009,0.210309
0.238437,0.207449
0.247084,0.204458
0.256033,0.201336
0.265223,0.198108
0.274441,0.194834
0.284236,0.191348
0.294386,0.187718
0.304785,0.183988
0.315273,0.180208
0.326335,0.176224
0.337792,0.1721
0.349354,0.167933
0.361615,0.16354
0.374222,0.159043
0.386854,0.154557
0.400176,0.14987
0.413976,0.145059
0.415161,0.144649
0.42704,0.140617
0.439988,0.136262
0.453625,0.131739
0.467309,0.127268
0.480756,0.12295
0.481569,0.122683
0.495266,0.118244
0.509319,0.113788
0.523913,0.10927
0.527434,0.108202
0.53858,0.104915
0.553534,0.100605
0.568926,0.0962778
0.576877,0.0940948
0.585048,0.0919164
0.602012,0.0875031
0.619352,0.0831153
0.636802,0.0788249
0.653557,0.0748303
0.655325,0.0744088
0.676238,0.0695896
0.697823,0.0648276
0.719999,0.0601562
0.742714,0.0555949
0.766041,0.0511469
0.789884,0.0468442
0.81444,0.0426647
0.839597,0.0386405
0.864671,0.0348792
0.891076,0.0311793
0.918013,0.0276728
0.945653,0.0243462
0.959947,0.0227519
0.972539,0.0213656
0.998636,0.0187088
1.02542,0.0162142
1.05258,0.0139125
1.08022,0.0117949
1.0936,0.0108698
1.10824,0.00985655
1.13649,0.00810964
1.1652,0.00654815
1.19442,0.00516995
1.22342,0.00400313
1.23358,0.00366212
1.25479,0.0029613
1.28746,0.00210543
1.32008,0.00146998
1.35294,0.00103369
1.38609,0.000768776
1.41955,0.000623963
1.44479,0.000559481
1.45223,0.000539966
1.48573,0.000472187
1.5194,0.000411172
1.55321,0.000354256
1.58627,0.000303596
1.62039,0.000256243
1.65408,0.000214029
1.65473,0.000213209
1.68873,0.000173961
1.72308,0.000138565
1.75675,0.000107829
1.79113,8.03297e-05
1.82501,5.68761e-05
1.85973,3.65499e-05
1.89365,1.97661e-05
1.92768,6.43002e-06
1.96152,-5.24814e-06
2.0,-1.22703e-05
