Position,AxialVelocity
0.0,4.75438e-05
0.0126311,9.41666e-05
0.0247078,0.000181226
0.0359214,0.000261343
0.0469023,0.000340659
0.0567868,0.000411673
0.066443,0.00048074
0.07553,0.000545289
0.0841134,0.000605887
0.0918453,0.000659915
0.0989818,0.000709423
0.114367,0.000815591
0.126588,0.00089833
0.138686,0.000978756
0.150658,0.00105721
0.162547,0.00113367
0.17488,0.0012114
0.187831,0.00129119
0.200914,0.00136979
0.214521,0.00144929
0.228413,0.00152799
0.242645,0.00160593
0.257218,0.00168284
0.272145,0.00175847
0.287423,0.0018325
0.30306,0.00190464
0.319064,0.00197461
0.335454,0.00204217
0.351761,0.00210519
0.36895,0.00216704
0.386538,0.00222548
0.404557,0.00228024
0.423015,0.00233096
0.441897,0.00237729
0.460656,0.00241775
0.480438,0.00245444
0.500701,0.0024858
0.521418,0.00251147
0.542014,0.00253063
0.563701,0.00254414
0.58591,0.0025511
0.607987,0.00255126
0.631249,0.00254438
0.655037,0.00253018
0.678652,0.0025091
0.679648,0.00250792
0.703499,0.00247963
0.728931,0.00244221
0.754956,0.0023967
0.780793,0.00234461
0.807995,0.00228276
0.835003,0.00221466
0.863402,0.00213629
0.892412,0.00204965
0.922067,0.0019547
0.952433,0.00185133
0.983441,0.00173994
1.01511,0.00162069
1.04745,0.00149375
1.08047,0.0013595
1.11419,0.00121811
1.14862,0.00107007
1.18276,0.000920043
1.19274,0.000875333
1.21867,0.000759455
1.25532,0.000593366
1.29276,0.000422138
1.33099,0.000246352
1.36999,6.67431e-05
1.40978,-0.000116083
1.45036,-0.00030142
1.49178,-0.000488799
1.53404,-0.000677305
1.57587,-0.000860794
1.61982,-0.00104962
1.65079,-0.00117945
1.66462,-0.0012373
1.7103,-0.00142329
1.75686,-0.0016064
1.80431,-0.00178586
1.85279,-0.00196114
1.9022,-0.00213092
1.95258,-0.00229429
2.00399,-0.00245041
2.05641,-0.00259806
2.1099,-0.00273619
2.1322,-0.00278836
2.16452,-0.00286395
2.21866,-0.00297682
2.27554,-0.00307974
2.33375,-0.00316749
2.39314,-0.00323778
2.45386,-0.0032885
2.51599,-0.00331699
2.57962,-0.00332107
2.64294,-0.00330064
2.70769,-0.00325814
2.71061,-0.00325626
2.77911,-0.00319616
2.84952,-0.00312711
2.91969,-0.00305719
2.99398,-0.00298549
3.07051,-0.00291569
3.14937,-0.00284808
3.23074,-0.00278267
3.3122,-0.0027211
3.39877,-0.0026595
3.48579,-0.00260102
3.57848,-0.00254238
3.67182,-0.00248558
3.77005,-0.00242966
3.87334,-0.00237082
4.0,-0.00233191
