Position,AxialVelocity
0.0,1.38694
0.0286942,1.36175
0.060518,1.34031
0.095705,1.32252
0.13579,1.30366
0.182688,1.27919
0.237357,1.24584
0.296986,1.20299
0.369225,1.14404
0.454496,1.07038
0.563379,0.97898
0.685787,0.886552
0.819862,0.799756
0.936274,0.736057
1.0906,0.66772
1.39252,0.559802
1.68323,0.476492
1.68693,0.477238
1.68741,0.477329
1.71352,0.472198
1.81327,0.458413
2.76941,0.338642
2.77095,0.338563
2.8993,0.331101
3.21629,0.29917
3.22102,0.300471
3.23107,0.303215
3.62611,0.274163
3.67166,0.271868
4.41452,0.240087
4.47309,0.240371
4.48354,0.240152
4.48384,0.240148
4.52004,0.24054
5.0649,0.218429
5.19343,0.213665
5.29402,0.209899
5.73011,0.190446
6.0166,0.181651
6.06913,0.180435
6.38489,0.171204
6.40643,0.170731
6.66577,0.165391
6.67355,0.165264
7.05257,0.15981
7.06422,0.160964
7.0647,0.161011
7.59126,0.151287
7.88244,0.146136
8.14391,0.141499
8.34937,0.137937
8.53342,0.13491
8.73566,0.131694
8.93121,0.128741
9.13133,0.125838
9.32827,0.12311
9.52746,0.12046
9.72391,0.117956
9.92064,0.115547
10.1201,0.113202
10.3225,0.110915
10.5187,0.108783
10.7208,0.106667
10.9171,0.10469
11.1133,0.102784
11.3154,0.10089
11.5116,0.0991156
11.7078,0.0974023
11.904,0.0957466
12.1003,0.094146
12.3024,0.0925514
12.4986,0.0910547
12.6949,0.0896058
12.8912,0.0882035
13.0819,0.0868843
13.2702,0.0856222
13.4476,0.0844698
13.6254,0.0833499
13.791,0.0823389
13.9506,0.081393
14.0937,0.0805707
14.2233,0.0798474
14.3488,0.0791662
14.453,0.0786178
14.5474,0.0781332
14.6307,0.0777175
14.6985,0.0773858
14.76,0.077093
14.8111,0.0768517
14.8552,0.0766522
14.8957,0.0764637
14.9319,0.0763126
14.9664,0.0761535
15.0,0.0760535
