Position,AxialVelocity
0.0,0.0949638
0.0117601,0.0949563
0.0232959,0.0949359
0.0341319,0.0949046
0.0450888,0.0948609
0.0549391,0.0948113
0.0648355,0.0947518
0.0742759,0.094686
0.0833188,0.0946146
0.0914623,0.0945434
0.0990307,0.0944714
0.118022,0.0942662
0.134269,0.094063
0.150275,0.0938382
0.166086,0.0935925
0.18175,0.0933262
0.197991,0.0930265
0.215035,0.0926866
0.232225,0.092318
0.25008,0.0919084
0.268295,0.0914631
0.286926,0.0909798
0.305978,0.0904573
0.325462,0.0898945
0.345383,0.0892902
0.36575,0.0886436
0.386573,0.0879535
0.407864,0.087219
0.428989,0.0864629
0.451235,0.0856387
0.473974,0.0847682
0.497224,0.0838507
0.520994,0.082886
0.545288,0.0818741
0.569382,0.0808467
0.594751,0.0797414
0.620684,0.0785889
0.647184,0.07739
0.673465,0.076182
0.701126,0.0748928
0.729398,0.0735589
0.757434,0.0722223
0.786945,0.0708033
0.817096,0.0693433
0.846985,0.0678884
0.878437,0.0663521
0.910577,0.0647792
0.943416,0.0631718
0.975968,0.0615806
1.01022,0.0599113
1.04416,0.0582649
1.07987,0.0565436
1.11633,0.0547994
1.1536,0.053034
1.19169,0.0512496
1.23058,0.049451
1.2703,0.0476406
1.31086,0.045821
1.35228,0.0439957
1.39459,0.0421672
1.4378,0.040339
1.4806,0.0385681
1.52563,0.0367496
1.57163,0.0349401
1.61862,0.033143
1.66664,0.031361
1.71567,0.0295982
1.76574,0.0278582
1.80666,0.0264862
1.81687,0.0261438
1.86912,0.0244575
1.92249,0.0228027
1.97537,0.0212301
2.03102,0.0196461
2.08791,0.0181019
2.14606,0.0166005
2.20547,0.0151452
2.2662,0.0137386
2.32833,0.0123824
2.39184,0.0110804
2.45677,0.00983578
2.5232,0.00865048
2.59115,0.00752756
2.66069,0.00646984
2.73187,0.00548053
2.80257,0.00458885
2.87715,0.00374418
2.95361,0.00297893
3.03197,0.00229865
3.11232,0.00170907
3.19476,0.00121701
3.2794,0.000829126
3.36378,0.000556234
3.45426,0.000375474
3.5459,0.000281512
3.64035,0.000241256
3.73463,0.00022744
3.83466,0.000220595
3.93784,0.00021238
4.04435,0.000199901
4.15433,0.000183119
4.22386,0.000170662
4.26451,0.000163371
4.38191,0.000140414
4.49985,0.000116529
4.62566,9.12578e-05
4.75232,6.64783e-05
4.88587,4.24218e-05
5.02665,1.81561e-05
5.2,2.68124e-06
