Position,AxialVelocity
0.0,2.16786e-05
0.0115717,4.28377e-05
0.0230038,8.36376e-05
0.033781,0.000121884
0.0447656,0.00016149
0.0546453,0.000197011
0.0646372,0.000232902
0.0742013,0.000267153
0.0833936,0.000300036
0.0916751,0.000329423
0.0993855,0.000356739
0.119284,0.000427627
0.136516,0.0004882
0.153488,0.000547207
0.170255,0.000605246
0.186867,0.000662178
0.204097,0.000720631
0.222186,0.000781266
0.240432,0.000841623
0.259389,0.000903404
0.278734,0.000965412
0.298527,0.0010277
0.318772,0.00109014
0.33948,0.00115261
0.360659,0.00121495
0.382321,0.00127703
0.404475,0.00133868
0.427132,0.00139974
0.449616,0.00145824
0.4733,0.00151757
0.497518,0.00157573
0.522287,0.0016325
0.547615,0.00168767
0.573513,0.00174101
0.599204,0.00179075
0.626263,0.00183969
0.653932,0.00188605
0.682219,0.00192953
0.710277,0.00196871
0.739825,0.00200568
0.770033,0.00203894
0.799996,0.00206736
0.831548,0.00209238
0.863799,0.00211279
0.895783,0.00212786
0.929457,0.00213821
0.963879,0.00214303
0.999063,0.00214202
1.03395,0.00213514
1.07068,0.00212169
1.10709,0.00210219
1.14542,0.00207518
1.18458,0.00204091
1.22462,0.00199906
1.26557,0.0019494
1.30739,0.00189173
1.35013,0.00182582
1.39381,0.00175149
1.43843,0.00166856
1.48404,0.0015769
1.53064,0.00147644
1.57683,0.00137039
1.62544,0.00125221
1.67514,0.00112504
1.72593,0.000988916
1.77787,0.000843819
1.83094,0.000689945
1.88515,0.000527525
1.94056,0.000356717
1.9972,0.000177802
2.02922,7.45566e-05
2.05508,-8.81878e-06
2.11246,-0.000197022
2.17289,-0.00039786
2.23469,-0.000605036
2.29788,-0.000817905
2.3625,-0.00103572
2.42857,-0.00125762
2.49619,-0.00148273
2.56536,-0.00170975
2.6361,-0.0019372
2.70848,-0.00216351
2.78256,-0.00238654
2.85838,-0.00260333
2.93602,-0.00280936
3.01312,-0.00299174
3.09448,-0.00314428
3.17788,-0.00322893
3.26335,-0.0032213
3.35098,-0.00313982
3.44086,-0.00302416
3.53308,-0.00289706
3.62498,-0.00276993
3.72347,-0.00263901
3.82312,-0.00251485
3.92573,-0.00239412
4.02804,-0.00227966
4.13649,-0.00216471
4.24819,-0.00205355
4.36333,-0.00194589
4.48204,-0.00184283
4.60073,-0.00174688
4.72699,-0.00165281
4.85356,-0.00156611
4.93564,-0.00151469
4.98832,-0.00148164
5.12368,-0.00140505
5.26611,-0.00133107
5.41592,-0.00126221
5.6,-0.00122311
