Position,AxialVelocity
0.0,1.224
0.0152968,1.19344
0.0298469,1.12096
0.0435193,1.03361
0.0562777,0.945996
0.0680722,0.86413
0.0789512,0.789811
0.0889321,0.723523
0.0980614,0.664905
0.106371,0.613438
0.113925,0.568314
0.121268,0.52623
0.12311,0.515939
0.125124,0.504796
0.12715,0.493705
0.129226,0.482466
0.131336,0.471177
0.133513,0.459666
0.135735,0.448068
0.138045,0.436169
0.140369,0.424359
0.142765,0.412351
0.145217,0.400244
0.147749,0.387931
0.150317,0.37564
0.152921,0.363373
0.155568,0.351114
0.158291,0.338722
0.161109,0.326123
0.164047,0.313242
0.167021,0.300457
0.170124,0.287394
0.173348,0.274117
0.176609,0.260991
0.179888,0.248101
0.18336,0.234778
0.186985,0.221233
0.190622,0.208015
0.194352,0.194838
0.1982,0.181644
0.202213,0.168309
0.206338,0.155055
0.210677,0.141602
0.21509,0.128439
0.21589,0.126141
0.219542,0.115606
0.224146,0.102882
0.228958,0.0902031
0.233967,0.0776935
0.239046,0.0657432
0.244375,0.0540404
0.24986,0.0430051
0.255485,0.0329675
0.261198,0.0244495
0.267028,0.0178365
0.273231,0.0130653
0.279581,0.0100459
0.286041,0.00817435
0.292676,0.00686897
0.29937,0.00585393
0.306295,0.00504779
0.31333,0.00449674
0.320636,0.00414165
0.328238,0.00386628
0.335936,0.00361202
0.34398,0.00335433
0.352245,0.00310245
0.36067,0.00285492
0.369356,0.00261554
0.378165,0.00240129
0.387358,0.00219914
0.396788,0.00200946
0.406296,0.00183923
0.416301,0.00167954
0.426452,0.00153411
0.435687,0.00141544
0.436988,0.0014093
0.447433,0.00136631
0.457996,0.00132328
0.469046,0.00127334
0.48015,0.00121637
0.49144,0.00115056
0.503016,0.00107547
0.514596,0.000994453
0.52628,0.000909038
0.538154,0.000820365
0.55008,0.000731343
0.55756,0.000675219
0.561525,0.000668387
0.572585,0.000647939
0.583346,0.000623581
0.594227,0.000595366
0.6053,0.000563583
0.616636,0.000528421
0.625392,0.000499905
0.627993,0.000491493
0.639565,0.000454701
0.651679,0.000416411
0.663703,0.000378649
0.675499,0.000341547
0.687489,0.000304033
0.699499,0.000266891
0.711332,0.000230703
0.723095,0.000195421
0.729683,0.000176164
0.734478,0.000162629
0.745244,0.000132623
0.75588,0.000103495
0.766123,7.60617e-05
0.775905,5.05908e-05
0.784884,2.75748e-05
0.792783,4.33084e-06
0.8,-7.59473e-06
