Position,AxialVelocity
0.0,3.22197e-05
0.0120069,6.36559e-05
0.0236877,0.000123334
0.0346167,0.000178839
0.0455606,0.000235279
0.0553987,0.00028584
0.0652015,0.000336131
0.0745144,0.000383728
0.0833986,0.000429036
0.0913977,0.000469494
0.0988164,0.000506913
0.116721,0.00059746
0.131771,0.000672485
0.146613,0.000745569
0.161278,0.0008173
0.175813,0.00088756
0.190882,0.000959521
0.206697,0.00103398
0.22265,0.00110791
0.239223,0.00118339
0.256129,0.0012589
0.273426,0.00133451
0.291117,0.00141004
0.309211,0.00148532
0.327713,0.00156014
0.34663,0.00163429
0.365973,0.00170756
0.385754,0.00177975
0.405389,0.00184855
0.426066,0.00191786
0.447204,0.0019853
0.468821,0.00205063
0.490927,0.00211355
0.513522,0.00217374
0.535933,0.00222924
0.559535,0.00228311
0.583667,0.00233332
0.608325,0.00237952
0.632786,0.00242018
0.65853,0.00245741
0.684848,0.00248962
0.710954,0.0025157
0.738433,0.00253687
0.766508,0.00255194
0.794341,0.00256036
0.823624,0.00256228
0.853551,0.00255707
0.884133,0.00254437
0.91445,0.00252451
0.946348,0.00249603
0.97796,0.00246028
1.01121,0.00241479
1.04515,0.00236034
1.07983,0.00229662
1.11529,0.00222332
1.15148,0.00214034
1.18843,0.00204749
1.22616,0.00194459
1.25087,0.00187205
1.26467,0.00183156
1.30401,0.00170825
1.34417,0.00157472
1.38395,0.0014352
1.42578,0.00128127
1.4685,0.0011172
1.51212,0.000943049
1.55667,0.000758942
1.60215,0.000565236
1.64857,0.000362279
1.69594,0.000150401
1.74433,-7.00537e-05
1.79372,-0.000298424
1.84264,-0.000527247
1.89409,-0.000769875
1.94665,-0.00101854
2.00033,-0.0012725
2.05514,-0.00153068
2.11112,-0.00179203
2.16835,-0.00205557
2.22681,-0.00231953
2.28653,-0.00258208
2.34758,-0.0028411
2.40132,-0.00305846
2.40997,-0.00309339
2.47375,-0.00333391
2.53899,-0.00355247
2.60376,-0.00372079
2.67202,-0.00381081
2.74198,-0.00380407
2.81362,-0.00373456
2.88705,-0.00364111
2.96237,-0.00354161
3.03966,-0.00344272
3.11673,-0.0033486
3.19933,-0.00325292
3.28303,-0.00316094
3.36928,-0.00307061
3.45539,-0.00298468
3.54679,-0.0028978
3.64109,-0.00281284
3.73848,-0.0027293
3.83912,-0.0026477
3.94002,-0.00256992
4.04757,-0.00249159
4.09515,-0.00245876
4.15576,-0.00241689
4.27127,-0.0023419
4.38771,-0.00227213
4.5106,-0.00220088
4.64024,-0.00212806
4.8,-0.00208434
