Position,AxialVelocity
0.0,1.86394
0.0286942,1.85585
0.060518,1.84778
0.095705,1.83947
0.13579,1.83002
0.182688,1.81863
0.237357,1.80477
0.296986,1.78856
0.369225,1.76663
0.454496,1.7349
0.563379,1.67702
0.685787,1.57748
0.819862,1.43226
0.936274,1.29275
1.0906,1.12508
1.39252,0.868592
1.68323,0.679933
1.68693,0.681645
1.68741,0.68183
1.71352,0.668874
1.81327,0.639597
2.76941,0.41931
2.77095,0.419158
2.8993,0.403722
3.21629,0.350835
3.22102,0.352589
3.23107,0.356331
3.62611,0.313299
3.67166,0.309989
4.41452,0.267857
4.47309,0.269629
4.48354,0.268768
4.48384,0.268716
4.52004,0.266546
5.0649,0.238095
5.19343,0.231844
5.29402,0.226945
5.73011,0.202173
6.0166,0.191568
6.06913,0.190234
6.38489,0.179835
6.40643,0.179322
6.66577,0.173611
6.67355,0.173484
7.05257,0.168377
7.06422,0.169677
7.0647,0.169728
7.59126,0.158768
7.88244,0.152939
8.14391,0.14773
8.34937,0.143763
8.53342,0.14041
8.73566,0.136874
8.93121,0.133643
9.13133,0.130481
9.32827,0.127523
9.52746,0.12466
9.72391,0.121963
9.92064,0.119375
10.1201,0.116862
10.3225,0.114417
10.5187,0.112142
10.7208,0.109889
10.9171,0.107787
11.1133,0.105763
11.3154,0.103756
11.5116,0.101878
11.7078,0.100067
11.904,0.0983193
12.1003,0.0966319
12.3024,0.0949532
12.4986,0.0933797
12.6949,0.0918585
12.8912,0.0903885
13.0819,0.0890077
13.2702,0.087689
13.4476,0.0864871
13.6254,0.0853215
13.791,0.0842715
13.9506,0.0832915
14.0937,0.0824418
14.2233,0.0816963
14.3488,0.0809961
14.453,0.0804339
14.5474,0.0799382
14.6307,0.079514
14.6985,0.079176
14.76,0.0788782
14.8111,0.0786328
14.8552,0.0784303
14.8957,0.0782389
14.9319,0.0780857
14.9664,0.0779247
15.0,0.0778232
